Gene_Id	temozolomide_HEPG2_6 h_10 µM
INPP4B	0.973386526
IQGAP1	-0.035368145
SOCS2	0.270967096
CFLAR	0.834981322
CDK5R1	0.605096936
ST3GAL5	-0.200635538
IER3	0.478588551
SQSTM1	-0.765029073
SLC5A6	1.122395635
CPNE3	0.075823419
CCNA1	-1.224060893
TIMELESS	0.134806126
P4HA2	-1.21850431
PLOD3	0.330592275
NOL3	0.301877141
SLC25A14	1.375298977
MPZL1	0.701701462
MAP7	-0.428137124
DNAJA3	1.112729907
USP14	0.323884517
MTA1	-0.67077899
PDLIM1	-0.017775198
SMC3	-0.599725127
PRPF4	0.56523335
CCNB2	1.10344553
CCNE2	-0.161328584
SYNGR3	-0.083177336
LPAR2	0.001020461
ARHGEF2	1.169593692
ZW10	-0.170856521
AURKB	0.4888179
VAPB	0.729589283
NOLC1	0.174478903
UBE2L6	-0.586944997
MAPKAPK2	0.233280838
CYTH1	-0.038742691
ITGB1BP1	-0.182997659
BCL7B	-0.293008894
COPB2	0.357897609
ADGRG1	0.841356754
TM9SF2	-1.811386347
MAP4K4	-0.855192125
HOMER2	-0.205358654
SH3BP5	0.575953662
PIGB	-0.194180608
PSMF1	-0.041971352
SPTLC2	-1.095646381
TBPL1	0.23344399
BAG3	-0.024508938
POLR1C	-0.114667051
SPAG7	0.621879578
FEZ2	0.178016901
IKBKE	0.767685056
MTFR1	0.023060888
HS2ST1	4.200478077
IPO13	-1.537269115
VGLL4	0.270408541
NUP93	0.279902041
UBE3C	-0.727539241
EDEM1	0.482711315
TRAM2	-0.952046752
CEP57	0.83831799
KIAA0100	-0.551792026
HERPUD1	0.340722054
KIAA0355	-0.796210289
USP6NL	-0.378908008
CCP110	-0.20038712
MLEC	-0.932256401
TATDN2	0.599758029
MRPL19	-0.252240032
SCRN1	0.564915478
EFCAB14	-0.502390862
KEAP1	-0.04019589
MELK	-0.762557387
PLEKHM1	0.195677221
C2CD5	1.575921535
KIAA0753	-0.371798575
C2CD2L	-0.133071467
TOMM70A	-0.0317498
KIAA0196	-0.583876133
KLHL21	0.124704406
ARNT2	-0.968588173
FAM20B	-0.694122672
NCAPD2	0.788526416
PAN2	-0.449952602
LPGAT1	-0.193137258
KIF14	0.23766914
OXSR1	0.092915021
MVP	0.707742691
DMTF1	0.114189431
GNPDA1	0.464221269
HDAC6	-0.387966543
PARP2	-0.297344923
MAMLD1	0.142379701
DNAJB6	-2.11097765
SMC4	-0.247841015
ABCC5	0.500136554
ABCB6	1.083693385
DNM1L	0.343101293
TSPAN3	0.469759762
KIF20A	0.2111599
ARL4C	0.540492475
TRAP1	-0.392953575
G3BP1	1.280037284
MBNL2	0.785284102
CEBPZ	-0.163672388
SLC25A13	0.277795404
SORBS3	0.414369226
RBM6	0.018160183
TXNDC9	0.295248896
TRIM13	1.21718061
TRIB1	-0.583012521
MFSD10	0.28523767
SLC35B1	-0.274903893
TIMM17B	0.133745253
AKAP8	0.238266379
STUB1	-0.417132109
NET1	-1.375577211
SMNDC1	0.037279427
PAK4	0.70358181
TNIP1	0.00373555
IKZF1	0.522650242
TMEM5	-0.793220043
HMG20B	-0.358840764
MYL9	0.930443048
LYPLA1	0.363559455
PPIE	-0.030166551
VAV3	2.012019396
LRRC41	-0.226814702
CRTAP	-0.230899483
VAT1	-0.094431624
STK25	0.149028003
APPBP2	0.157668322
CHERP	0.14628239
HYOU1	-0.020257622
RPP38	0.835054576
SLC35A1	-0.339956284
DRAP1	-0.806547165
PAICS	0.412456363
ST6GALNAC2	-0.238500297
STAMBP	0.364090919
NPRL2	0.185916215
IGF2BP2	0.207103342
YKT6	0.708422601
CGRRF1	0.027019724
RRAGA	-0.332199842
GNB5	-0.031760365
EBP	0.104093358
CNPY3	1.555271983
YME1L1	0.365835369
TCFL5	-0.136881649
KDM5B	1.258957148
POP4	0.567756414
ARPP19	0.52398479
ZNF274	0.444051534
MTHFD2	0.378086358
WASF3	0.070178092
UTP14A	-0.902837932
FRS2	0.398113519
CLPX	0.352709591
PGRMC1	-0.508902013
MALT1	-0.047284201
CPSF4	0.114173129
BLCAP	0.503016293
TCERG1	0.311123192
RNPS1	0.20944573
TOMM34	0.691760659
PDIA5	-0.630019069
MLLT11	0.285834163
EBNA1BP2	-0.660251915
TMED10	0.696382523
ASCC3	0.16166918
SLC27A3	0.069303215
KIF2C	0.845408618
CCDC85B	0.180287004
TLK2	0.10754586
