Gene_Id	tert-butylhydroquinone_JURKAT_24 h_3 µM
XPNPEP1	0.335572317
ZFP36	-1.406945527
ZNF131	0.100493819
ZMYM2	-1.568798721
PAX8	-0.970593855
CXCR4	0.615952745
IFRD2	0.82346113
MAPKAPK3	-0.331473321
USP7	0.604159042
REEP5	-0.043749243
ST7	-0.082677633
KAT6A	-0.258001151
PDHX	-0.517959177
FOSL1	-1.72518906
HMGA2	0.108437836
NCOA3	-1.119443327
NRIP1	-0.229782626
SMC1A	-0.038422391
LAGE3	-0.793483142
AXIN1	0.117504224
CDC45	-0.255614862
FZD1	0.027100563
FZD7	0.037549894
HIST2H2BE	-0.570707358
PIP4K2B	-0.004924893
NCK2	-0.088754453
DYRK3	-0.474425673
DUSP11	-0.220624149
RAE1	-1.254910946
PIK3R3	-1.196746916
NIPSNAP1	-1.752958626
IKBKAP	-1.558905423
HAT1	-0.506024629
MAPKAPK5	-0.5208278
BHLHE40	-0.325624794
MKNK1	0.504623502
CASK	0.487720504
AKR7A2	-0.424273148
RUVBL1	-0.769118413
PSMG1	-0.392997459
BECN1	-0.473523065
MBTPS1	-0.824167222
EED	0.100359015
CTNNAL1	-0.237429336
RNMT	-0.179705188
PEX11A	0.959908791
CREG1	-0.869801313
INPP4B	-0.072194614
IQGAP1	-0.730891094
SOCS2	0.532987222
CFLAR	-2.295958713
CDK5R1	-0.683397442
ST3GAL5	-0.637221545
IER3	0.237377711
SQSTM1	-0.413717002
SLC5A6	-0.440657601
CPNE3	-0.606251962
CCNA1	0.120845623
TIMELESS	-1.576509058
P4HA2	-0.067436283
PLOD3	-0.112674683
NOL3	-0.421474218
SLC25A14	0.483979106
MPZL1	-0.151506595
MAP7	-0.409202799
DNAJA3	-0.059024341
USP14	-0.010242805
MTA1	-0.581012279
PDLIM1	0.527282946
SMC3	-0.305239588
PRPF4	-0.515912086
CCNB2	0.496074677
CCNE2	-0.052275985
SYNGR3	-0.291868836
LPAR2	-1.706058711
ARHGEF2	0.020488724
ZW10	-0.009280697
AURKB	-0.432921678
VAPB	-0.115866423
NOLC1	-1.096574306
UBE2L6	-0.593051374
MAPKAPK2	0.268207991
CYTH1	0.971649773
ITGB1BP1	-0.097422421
BCL7B	3.04840976
COPB2	0.685437351
ADGRG1	2.311215639
TM9SF2	0.087657645
MAP4K4	-0.903345823
HOMER2	-0.759520799
SH3BP5	0.635636359
PIGB	-0.422281779
PSMF1	0.435894325
SPTLC2	-0.37057418
TBPL1	-0.032916769
BAG3	-1.718924522
POLR1C	0.384410486
SPAG7	2.004281223
FEZ2	0.07348372
IKBKE	0.356045723
MTFR1	-0.066629246
HS2ST1	-0.638875306
IPO13	0.562271744
VGLL4	0.09531039
NUP93	-1.579572439
UBE3C	-0.077757642
EDEM1	-0.400146618
TRAM2	-0.455653902
CEP57	-0.437586829
KIAA0100	2.606730543
HERPUD1	0.08469148
KIAA0355	-0.431724489
USP6NL	-0.996083692
CCP110	-0.53708604
MLEC	-0.660576344
TATDN2	-0.363910079
MRPL19	1.576339632
SCRN1	0.060727626
EFCAB14	0.368464746
KEAP1	1.522234201
MELK	0.524126261
PLEKHM1	0.410108887
C2CD5	-0.106578261
KIAA0753	0.417167604
C2CD2L	-0.193901002
TOMM70A	0.067832798
KIAA0196	-0.950151801
KLHL21	1.323803008
ARNT2	0.98147729
FAM20B	-0.120659098
NCAPD2	1.964757979
PAN2	-0.015397802
LPGAT1	0.125001237
KIF14	0.050355345
OXSR1	-0.014622599
MVP	1.605654359
DMTF1	-0.976734534
GNPDA1	0.119453296
HDAC6	0.120711833
PARP2	0.161492094
MAMLD1	0.273735017
DNAJB6	0.548533082
SMC4	0.309532607
ABCC5	-0.776935194
ABCB6	1.190476224
DNM1L	-0.070206851
TSPAN3	-0.859000832
KIF20A	0.056402721
ARL4C	0.296434253
TRAP1	0.53359431
G3BP1	-0.863700658
MBNL2	-0.288006246
CEBPZ	-0.058152618
SLC25A13	-1.227608442
SORBS3	1.506444007
RBM6	0.198978126
TXNDC9	0.36496748
TRIM13	-0.543329008
TRIB1	-0.302197233
MFSD10	-0.044680342
SLC35B1	-0.294239022
TIMM17B	-0.064779997
AKAP8	0.010016769
STUB1	0.284773737
NET1	0.017188549
SMNDC1	0.220690176
PAK4	-0.149499997
TNIP1	-0.150793478
IKZF1	-0.822115064
TMEM5	0.578412756
HMG20B	2.401420884
MYL9	-0.301200733
LYPLA1	0.638718009
PPIE	-0.118697047
VAV3	0.47532782
LRRC41	0.077135414
CRTAP	-0.614333421
VAT1	-1.180967152
STK25	-0.534166664
APPBP2	0.156682156
CHERP	-0.647191912
HYOU1	0.07028909
RPP38	0.292105913
SLC35A1	-0.605263859
DRAP1	0.51268068
PAICS	-0.820509493
ST6GALNAC2	1.223245144
STAMBP	-0.180909127
NPRL2	-1.027492702
IGF2BP2	0.644390956
YKT6	1.025389291
CGRRF1	-1.14070113
RRAGA	0.636319563
GNB5	-1.755186915
EBP	0.142439589
CNPY3	-0.312417708
YME1L1	-2.722905561
TCFL5	0.25913088
KDM5B	-0.317721523
POP4	-0.8694828
