Gene_Id	geldanamycin_HEPG2_24 h_0.37 µM
SPTAN1	-2.008091271
SRC	1.623669624
STAT1	0.547781736
STAT3	3.537074208
STAT5B	2.05142206
AURKA	0.995464891
STK10	0.00981003
STX1A	-2.319339633
STX4	0.024290979
STXBP1	-1.809325993
STXBP2	0.071161963
SUPV3L1	0.912936598
SUV39H1	-0.042281352
SYK	0.146574989
SYPL1	-0.237114012
TARBP1	0.040190019
TBP	1.507494688
TBX2	-0.100526363
TBXA2R	1.812339067
TCEA2	-4.471857786
VPS72	1.351292193
TCTA	-0.322355062
DYNLT3	-2.350620389
TERT	-4.17921102
TESK1	2.690339804
TFAP2A	-0.08781147
TFDP1	4.689575434
TGFB3	-0.751938269
TGFBR2	0.362539232
TIAM1	2.107686102
TIMP2	0.402047999
TJP1	1.007383615
TLE1	1.695921659
TLR4	1.992915928
TSPAN6	0.838723361
TSPAN4	-4.612594843
TOP2A	-0.413707571
TP53	0.554750189
TP53BP1	3.153184652
TP53BP2	-4.259466648
TPD52L2	-0.456859708
TPM1	-1.547841132
TSTA3	-0.463292003
TXNRD1	2.134094238
UBE2A	-6.353633404
UGDH	-3.43039763
NR1H2	2.694684625
USP1	1.645153046
VDAC1	0.535798445
WFS1	-2.870362282
WRB	0.339924008
XBP1	1.000298142
XPNPEP1	-1.231018851
ZFP36	-3.104128957
ZNF131	1.529145658
ZMYM2	2.04906714
PAX8	-5.157875061
CXCR4	-0.880269319
IFRD2	0.865392357
MAPKAPK3	0.956145138
USP7	-3.242403626
REEP5	1.04839468
ST7	1.089252591
KAT6A	-0.234312341
PDHX	-0.878154278
FOSL1	0.290536195
HMGA2	-4.553251982
NCOA3	1.290340364
NRIP1	-5.035513639
SMC1A	-0.664480239
LAGE3	2.823743224
AXIN1	-0.64282541
CDC45	1.903943062
FZD1	2.123823225
FZD7	-4.750096798
HIST2H2BE	-0.248207599
PIP4K2B	-0.969105572
NCK2	-1.456366509
DYRK3	-3.233503699
DUSP11	-8.358831406
RAE1	-1.039308548
PIK3R3	-0.227050982
NIPSNAP1	1.102996148
IKBKAP	0.289402187
HAT1	0.792440735
MAPKAPK5	-4.043711662
BHLHE40	-1.214966863
MKNK1	-0.425738133
CASK	1.295217484
AKR7A2	0.567414045
RUVBL1	1.567333221
PSMG1	0.833191857
BECN1	3.736185431
MBTPS1	-0.124540024
EED	1.470874906
CTNNAL1	-0.592300385
RNMT	-0.821503878
PEX11A	0.303424299
CREG1	1.174730003
INPP4B	1.374711841
IQGAP1	0.449660718
SOCS2	-0.69057101
CFLAR	-3.04187274
CDK5R1	-0.338878691
ST3GAL5	1.908218384
IER3	1.296922356
SQSTM1	0.204579696
SLC5A6	-0.3309986
CPNE3	-0.076132357
CCNA1	1.550746977
TIMELESS	0.235694617
P4HA2	0.903563976
PLOD3	0.409705549
NOL3	-0.826706618
SLC25A14	2.576942921
MPZL1	-0.542554006
MAP7	1.187446028
DNAJA3	-3.362493992
USP14	-2.258862972
MTA1	0.491293624
PDLIM1	-2.433360934
SMC3	-0.079088688
PRPF4	-1.616368771
CCNB2	-3.265253067
CCNE2	-4.999169588
SYNGR3	2.681439281
LPAR2	-0.641195327
ARHGEF2	3.154581249
ZW10	0.020041078
AURKB	1.817924321
VAPB	-0.851428457
NOLC1	-0.409804255
UBE2L6	1.53417033
MAPKAPK2	1.619935811
CYTH1	-0.402519584
ITGB1BP1	-2.751752138
BCL7B	0.938126333
COPB2	-1.255047977
ADGRG1	-1.340039253
TM9SF2	1.50884676
MAP4K4	-0.222342258
HOMER2	-0.250014916
SH3BP5	0.796990931
PIGB	3.326037407
PSMF1	1.149418563
SPTLC2	-0.005784874
TBPL1	-1.829698861
BAG3	-1.197241187
POLR1C	-1.154789925
SPAG7	-2.331466734
FEZ2	-4.525985003
IKBKE	-4.372037649
MTFR1	-2.020304024
HS2ST1	0.950497389
IPO13	2.667766452
VGLL4	0.763735265
NUP93	2.075281024
UBE3C	1.488957047
EDEM1	-0.585167825
TRAM2	0.351507723
CEP57	-2.21399498
KIAA0100	1.948166549
HERPUD1	-5.534989357
KIAA0355	1.932677647
USP6NL	-0.683525652
CCP110	0.113389235
MLEC	-0.19434116
TATDN2	-4.756106973
MRPL19	-0.706388474
SCRN1	1.109500766
EFCAB14	2.435728192
KEAP1	-2.50525403
MELK	0.523000687
PLEKHM1	-0.622312188
C2CD5	-0.094191298
KIAA0753	2.033715725
C2CD2L	1.051489264
TOMM70A	4.694455385
KIAA0196	-1.177030534
KLHL21	-2.161496937
ARNT2	-1.281144321
FAM20B	1.534851551
NCAPD2	-0.107455686
PAN2	1.062843025
LPGAT1	1.641574204
KIF14	4.579928398
OXSR1	1.881605268
MVP	0.626507282
DMTF1	0.727692515
GNPDA1	1.297857463
HDAC6	-3.220578551
PARP2	3.054562211
MAMLD1	-0.310428604
DNAJB6	-3.64423728
SMC4	1.548120201
ABCC5	2.365371168
ABCB6	-0.625550851
DNM1L	0.186897486
TSPAN3	2.265672088
KIF20A	-2.562242687
ARL4C	-0.538264856
TRAP1	-0.488256209
G3BP1	-6.974572659
MBNL2	-0.380555741
CEBPZ	-2.069257617
SLC25A13	-0.707665861
SORBS3	-0.955588832
RBM6	-7.197753191
TXNDC9	1.504301429
TRIM13	3.693663359
TRIB1	-0.830154613
MFSD10	-0.782730252
SLC35B1	-2.374117017
TIMM17B	-2.330194712
AKAP8	0.643223554
STUB1	0.526286185
NET1	2.583560988
SMNDC1	-0.210922971
PAK4	-2.575275421
TNIP1	1.300649494
IKZF1	-2.480385304
TMEM5	-1.934474528
HMG20B	-0.099897347
MYL9	-1.468432128
LYPLA1	0.122304
PPIE	0.650012076
VAV3	1.059034646
LRRC41	0.443484932
CRTAP	-0.015296511
VAT1	-2.970057845
STK25	-0.634022743
APPBP2	1.146073639
CHERP	2.488270879
HYOU1	1.266648829
RPP38	4.627987385
SLC35A1	-4.964992762
DRAP1	1.715416253
PAICS	-5.593900204
ST6GALNAC2	1.501722753
STAMBP	-3.159153938
NPRL2	-0.682846889
IGF2BP2	-1.041119725
YKT6	-2.097853661
CGRRF1	-2.953300595
RRAGA	0.044296026
GNB5	0.309121192
EBP	1.50008601
CNPY3	-0.900862932
YME1L1	2.366862476
TCFL5	0.060686961
KDM5B	-2.425214171
POP4	0.664765432
ARPP19	-3.164011478
ZNF274	-3.289635062
MTHFD2	-4.64038229
WASF3	0.159026295
UTP14A	0.241250515
FRS2	0.656303525
CLPX	-0.240976796
PGRMC1	0.262650877
MALT1	-1.234702677
CPSF4	-0.354627401
BLCAP	0.642903686
TCERG1	-3.325437784
RNPS1	-0.486890733
TOMM34	0.048414633
PDIA5	0.843744427
MLLT11	1.33199811
EBNA1BP2	-1.035074428
TMED10	-0.555392571
ASCC3	0.394917369
SLC27A3	-3.442744136
KIF2C	-1.813985467
CCDC85B	-0.282814056
TLK2	0.229709774
KDELR2	1.032281995
RAB31	-1.418942839
B4GAT1	0.735414922
PAPD7	3.863667846
UBE2C	0.940608025
DUSP14	0.884719372
TOPBP1	-0.161401957
PRSS23	-1.301849127
PWP1	-1.831592917
PKIG	0.683075383
CORO1A	5.496411562
LSM6	0.58907485
PSIP1	-0.66469568
SLC2A6	0.36144615
NISCH	-1.17096135
CHEK2	-0.688009143
PRAF2	-4.180537701
POLG2	0.365894511
CHP1	1.414657116
PNKP	0.781179495
ECD	0.462028444
DDX42	5.209241629
TWF2	2.278004587
CASC3	1.220795603
COG2	-1.476068914
ATF5	-0.744244635
MTF2	2.239561319
PUF60	-1.563393712
RAB11FIP2	-1.600339711
CLSTN1	2.478808641
FOXJ3	-2.905347705
KIAA0907	-0.525899637
EPN2	2.165621698
SACM1L	2.105824947
ATF6	3.011217356
RPIA	2.269851744
RAB21	-0.573276192
SPEN	-4.430516839
FBXO21	-0.424406193
RBM34	-0.862796485
WDTC1	1.543207109
XPO7	-3.195962906
TBC1D9B	2.214230716
RRP1B	1.964798689
MYCBP2	-1.995224833
CDK19	-6.55867815
GPATCH8	5.488869905
MAST2	2.670520484
DCUN1D4	1.72950536
FCHO1	0.591629416
SNX13	0.937703729
ATP11B	-2.541468024
JMJD6	-0.163078643
RRS1	-0.45065026
RRP12	-1.703285158
SYNE2	1.242391735
PDS5A	1.355607271
CAMSAP2	0.203813866
ATMIN	1.061479926
TRIM2	5.107517362
KIAA1033	-0.102716096
USP22	2.518478394
WDR7	1.677219927
JADE2	-5.689166665
ARHGEF12	0.621548146
PPP1R13B	0.445069879
RRP8	-3.723630428
NUDCD3	-2.619225979
SIRT3	0.771432295
SLC35A3	0.794697046
ICMT	3.683948755
MACF1	1.770900071
SUZ12	-3.011605501
KAT6B	-1.467387557
NNT	-1.0068589
ADAT1	-0.222004458
TMEM50A	-3.255898118
KLHDC2	3.620901108
ACOT9	1.915722311
SSBP2	0.272093251
NUP62	1.155378461
ARFIP2	0.741141029
LSM5	-1.549751282
PLA2G15	1.208948225
TMEM2	-0.739705309
ZNF318	0.264728799
FBXO7	-1.549100518
SPDEF	-0.352008663
BAMBI	1.45431304
BACE2	-2.533737183
COG4	1.672913492
MPC2	-3.924518466
CLIC4	-0.346089408
C2CD2	4.166391969
TIPARP	-2.308135986
TSKU	-0.09363924
RNF167	-3.849384189
LRP10	1.992019653
ZNF451	-2.728919029
SENP6	0.517509639
RAI14	0.904497921
KIF1BP	-0.119174518
TES	2.134991586
PHGDH	4.064468503
MYCBP	0.779499054
CHIC2	0.940000448
TIMM9	-7.225081205
AKAP8L	-0.120424256
ATP2C1	1.621325284
TRAPPC3	2.345148087
ATP5S	-3.920589685
TNFRSF21	-1.550678909
SESN1	2.469606996
HTATSF1	-1.772737682
TMEM97	0.591211073
BZW2	7.253764629
CHMP4A	1.412551045
GTPBP8	1.92856282
DNAJC15	-2.125825524
PACSIN3	-0.123552434
RBM15B	-1.316115052
HOOK2	-6.325499535
SNX11	-0.394925639
TIMM22	0.85459359
NENF	-2.763275266
UBQLN2	1.683721125
ERO1A	-0.439022541
DNTTIP2	0.871711105
PIK3R4	6.527540922
HDGFRP3	0.807568461
COPS7A	0.14759662
NSDHL	-7.441729069
HEBP1	-0.816197217
MTERF3	1.409167677
AMDHD2	2.067487478
ISOC1	2.46845454
MRPS16	0.982875764
FIS1	-0.448574841
GOLT1B	5.204398394
GLOD4	-0.642525464
GMNN	-1.017178595
LAP3	-1.416807115
NOSIP	-0.715276301
DERA	2.914187908
SCCPDH	0.197396085
MRPS2	0.334259883
VPS28	3.9079777
HSD17B11	1.501356661
NUSAP1	1.270992666
SCAND1	-0.407164391
CD320	3.084059
NGRN	-1.950091362
SNX7	1.452590466
ATP6V1D	-3.576111197
ZNF589	0.144854352
PRKAG2	-3.592611313
UBE2J1	2.397235334
EVL	-1.957618743
HACD3	2.237042189
UFM1	0.285072196
LSR	-0.416785464
DHRS7	-1.033072323
CAB39	0.590559423
ARID4B	-0.065440357
NUDT9	-2.616306424
CYCS	-4.72168982
TERF2IP	-3.519378066
GFOD1	-0.744031489
KCTD5	2.293926924
TMCO1	-0.055069178
DHX29	1.225395858
EXOSC4	-0.924566269
DDIT4	-3.229456544
PAF1	-0.563462779
P4HTM	1.037357271
SLC35F2	-0.645299733
ZNF586	0.734615117
FBXL12	0.051707262
TEX10	2.229602814
YTHDF1	0.543654209
TXNL4B	0.742259743
