Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
PTPRF	-0.002796659
PTPRK	0.183563024
PXMP2	0.009322837
PXN	0.953703284
PYCR1	0.77234602
PYGL	-0.156887904
RAB4A	-1.237093687
RAB27A	0.964587271
RAC2	-1.912227988
RAD9A	-1.335046649
RAD51C	-0.419058412
MOK	-0.99093169
RALA	1.065481067
RALB	0.693847895
RALGDS	-0.473971605
RAP1GAP	-0.07694675
RASA1	1.211059213
RB1	-3.938457966
KDM5A	-0.74231559
RELB	-3.602473259
RFC2	-0.843037486
RFC5	0.195815176
RFNG	0.461590379
RFX5	-1.834527254
RGS2	0.047394067
RHEB	2.310062647
RNH1	-0.782897353
RPA1	0.37150526
RPA2	-1.143701553
RPA3	0.855416954
MRPL12	0.02004832
RPN1	-0.689543724
RPS5	-0.16817598
RPS6	-0.437054545
RPS6KA1	-1.333339334
RSU1	-0.13428688
RTN2	-0.416698158
S100A4	-0.494159579
S100A13	-0.83491528
SATB1	-0.270594686
SCP2	-0.805675149
CCL2	1.538982391
SDHB	-0.688693762
SGCB	-2.855815411
SHB	-0.408201724
SHC1	-1.376754522
SKIV2L	2.78191781
SKP1	-0.706578314
SLC1A4	-0.632038951
SMARCA4	-0.278223008
SMARCC1	0.062679067
SMARCD2	-3.921147585
SNAP25	-0.765140593
SNCA	-0.892756343
SOX2	-0.524011374
SOX4	1.633202314
SPAG4	-1.408571243
SPP1	0.102812529
SPR	3.121717215
SPTAN1	0.005175442
SRC	1.658038735
STAT1	-0.325091541
STAT3	0.375061095
STAT5B	0.115684003
AURKA	-0.245728642
STK10	1.001722336
STX1A	-4.060642242
STX4	0.386508197
STXBP1	-0.667395115
STXBP2	-0.287464648
SUPV3L1	3.226675272
SUV39H1	-0.80228138
SYK	-0.389524162
SYPL1	0.392935455
TARBP1	0.604727924
TBP	1.890470028
TBX2	-0.38815254
TBXA2R	-0.567968249
TCEA2	0.439166874
VPS72	-0.696639895
TCTA	0.532669425
DYNLT3	-0.339280009
TERT	3.493924141
TESK1	-0.532922506
TFAP2A	-1.133577347
TFDP1	6.529301643
TGFB3	0.107143953
TGFBR2	2.018779516
TIAM1	0.432791412
TIMP2	2.213585377
TJP1	-0.759373009
TLE1	0.42886436
TLR4	2.006055593
TSPAN6	-0.104943365
TSPAN4	-1.405467987
TOP2A	1.370176554
TP53	-1.603229403
TP53BP1	-0.403315246
TP53BP2	-0.688382626
TPD52L2	-0.215131864
TPM1	1.645917892
TSTA3	0.577982366
TXNRD1	-0.985230923
UBE2A	1.117495298
UGDH	0.632290125
NR1H2	-0.607965767
USP1	-0.72098428
VDAC1	4.672560692
WFS1	0.411336035
WRB	-0.916318655
XBP1	0.861909628
XPNPEP1	-1.99604702
ZFP36	0.647506118
ZNF131	-0.076049611
ZMYM2	-0.950742245
PAX8	-0.087425202
CXCR4	0.353681087
IFRD2	0.027741134
MAPKAPK3	-0.420870304
USP7	-0.038780749
REEP5	1.926056743
ST7	-0.104061693
KAT6A	-1.578565955
PDHX	0.564946532
FOSL1	0.198182449
HMGA2	-0.285566688
NCOA3	-1.823251247
NRIP1	0.303096235
SMC1A	-0.376823127
