Gene_Id	mitomycin-c_HCC515_6 h_10 µM
SGCB	0.157508548
SHB	-1.12545149
SHC1	1.260914549
SKIV2L	-0.245680813
SKP1	0.536639094
SLC1A4	0.326964542
SMARCA4	-0.062641798
SMARCC1	-0.765663564
SMARCD2	0.229897767
SNAP25	-0.370195627
SNCA	0.802636504
SOX2	-0.772964507
SOX4	-0.928334981
SPAG4	1.008185446
SPP1	-0.346463561
SPR	-0.017828763
SPTAN1	-0.221452548
SRC	-0.631173939
STAT1	0.537458271
STAT3	-0.676122904
STAT5B	-0.717173427
AURKA	-0.292665899
STK10	-0.287184373
STX1A	0.626034044
STX4	-1.034088403
STXBP1	0.629191995
STXBP2	-0.389159799
SUPV3L1	-0.055595472
SUV39H1	-1.288771011
SYK	-0.372102365
SYPL1	0.575290352
TARBP1	-0.722816017
TBP	0.710233167
TBX2	-0.182501599
TBXA2R	-0.031578854
TCEA2	-1.142997578
VPS72	-0.723258831
TCTA	-0.276358634
DYNLT3	0.156649835
TERT	0.28883481
TESK1	0.689617395
TFAP2A	-1.559751809
TFDP1	-1.134169657
TGFB3	0.072864685
TGFBR2	-0.074200906
TIAM1	1.444925353
TIMP2	0.387247592
TJP1	0.455961052
TLE1	0.010886565
TLR4	1.45472829
TSPAN6	0.222385436
TSPAN4	-0.69279772
TOP2A	0.062154509
TP53	0.551149234
TP53BP1	-1.204823658
TP53BP2	-0.063377522
TPD52L2	-0.519699268
TPM1	-0.029213473
TSTA3	0.231244832
TXNRD1	-0.91631892
UBE2A	0.047635138
UGDH	-0.376946233
NR1H2	-1.589906216
USP1	0.00247483
VDAC1	-1.100113571
WFS1	0.058512837
WRB	-1.344569534
XBP1	0.341392681
XPNPEP1	0.36116714
ZFP36	0.120191339
ZNF131	0.178097472
ZMYM2	0.108936667
PAX8	0.227699131
CXCR4	-0.088355713
IFRD2	-0.259426426
MAPKAPK3	0.141079381
USP7	-0.690206051
REEP5	0.402783334
ST7	0.031160459
KAT6A	0.023937583
PDHX	-0.025086313
FOSL1	1.188111722
HMGA2	-0.671113104
NCOA3	0.591615573
NRIP1	-0.135036536
SMC1A	-0.15215794
LAGE3	0.299537942
AXIN1	-1.108722627
CDC45	0.246698186
FZD1	-0.137851607
FZD7	2.144892991
HIST2H2BE	0.582666397
PIP4K2B	-0.687673807
NCK2	-0.240997791
DYRK3	-0.202251334
DUSP11	-0.325223923
RAE1	-0.666290849
PIK3R3	-0.763705015
NIPSNAP1	-0.662354589
IKBKAP	-1.048073769
HAT1	-0.547547489
MAPKAPK5	0.280744046
BHLHE40	-0.151245013
MKNK1	1.392976776
CASK	0.15472769
AKR7A2	1.214284241
RUVBL1	0.080037542
PSMG1	-1.288616478
BECN1	-0.122570947
MBTPS1	-0.388974667
EED	-0.620155245
CTNNAL1	0.662948221
RNMT	0.721660882
PEX11A	0.634356603
CREG1	-0.510890037
INPP4B	-0.293373898
IQGAP1	-1.610825479
SOCS2	-0.330590338
CFLAR	-0.402183503
CDK5R1	-1.131417781
ST3GAL5	-0.086653799
IER3	-0.61378625
SQSTM1	0.438653827
SLC5A6	-2.106395543
CPNE3	-0.24056001
CCNA1	-0.587560013
TIMELESS	-0.233275391
P4HA2	0.009923428
PLOD3	0.182813674
NOL3	0.314970329
SLC25A14	-0.186393797
MPZL1	-1.160789371
MAP7	-0.607243836
DNAJA3	0.629542902
USP14	0.535376966
MTA1	3.715709805
PDLIM1	-1.282668248
SMC3	1.52324158
PRPF4	0.432400808
CCNB2	0.309571072
CCNE2	-1.681606717
SYNGR3	0.382296354
LPAR2	0.138630614
ARHGEF2	0.17504406
ZW10	0.368331254
AURKB	0.527903318
VAPB	-0.258039385
NOLC1	0.564691305
UBE2L6	-0.907030702
MAPKAPK2	1.005868569
CYTH1	0.233800352
ITGB1BP1	-0.136942506
BCL7B	-0.356969953
COPB2	-1.279414892
ADGRG1	-0.504152745
TM9SF2	0.344190121
MAP4K4	-0.446541071
HOMER2	0.096433669
SH3BP5	-1.172869742
PIGB	0.786925912
PSMF1	-0.100670479
SPTLC2	-0.261317572
TBPL1	0.780239969
BAG3	0.292103671
POLR1C	0.300682172
SPAG7	0.905677751
FEZ2	0.025144219
IKBKE	-0.155332424
MTFR1	-1.399482667
HS2ST1	0.370575786
IPO13	1.282118522
VGLL4	-1.158483505
NUP93	0.423313707
UBE3C	-4.505477667
EDEM1	-0.192952693
TRAM2	0.636173129
CEP57	-0.539643124
KIAA0100	-1.703481317
HERPUD1	-0.063659891
KIAA0355	1.778715611
USP6NL	-0.14597103
CCP110	-0.385043666
MLEC	0.38535586
TATDN2	-0.534521073
MRPL19	0.640112724
SCRN1	0.465601861
EFCAB14	1.521031931
KEAP1	-1.098937288
MELK	-0.365748256
PLEKHM1	1.114159256
C2CD5	-0.128774583
KIAA0753	0.101706266
C2CD2L	0.918657154
TOMM70A	1.116888344
KIAA0196	-1.179486752
KLHL21	-1.064709812
ARNT2	-0.895296752
FAM20B	-0.162477255
NCAPD2	-0.350769237
PAN2	-0.34453804
LPGAT1	0.233490191
KIF14	-0.298457995
OXSR1	-0.355701834
MVP	-0.454558775
DMTF1	0.421989545
GNPDA1	-1.58247
HDAC6	0.228522956
PARP2	0.058003962
MAMLD1	0.61887645
DNAJB6	-0.201520771
SMC4	1.608287156
ABCC5	0.298608012
ABCB6	0.490712956
DNM1L	0.078518931
TSPAN3	-0.67299965
KIF20A	-0.032949716
ARL4C	-3.408620059
TRAP1	0.327281564
G3BP1	-0.144749731
MBNL2	0.072888196
CEBPZ	0.269868687
SLC25A13	-0.449525785
SORBS3	1.655286849
RBM6	2.544596348
TXNDC9	-1.298052758
TRIM13	-0.218940377
TRIB1	0.422555685
MFSD10	-0.543601289
SLC35B1	-0.25833717
TIMM17B	-2.112294316
AKAP8	-0.295007721
STUB1	-0.103389814
NET1	-0.854459345
SMNDC1	1.425454676
PAK4	0.185261272
TNIP1	-1.333750427
IKZF1	0.76783812
TMEM5	-0.44320938
HMG20B	0.179444849
MYL9	0.890964121
LYPLA1	-0.726850867
PPIE	-0.658901259
VAV3	0.17544426
LRRC41	-0.586576074
CRTAP	1.836653212
VAT1	-0.130378753
STK25	0.252698392
APPBP2	0.223867536
CHERP	-0.0569098
HYOU1	-0.688522901
RPP38	-0.531178653
SLC35A1	-0.754714802
DRAP1	0.440603554
PAICS	0.063089907
ST6GALNAC2	-0.176217198
STAMBP	-0.629320338
NPRL2	-0.650619
IGF2BP2	-0.075847
YKT6	0.537570439
CGRRF1	0.882951409
RRAGA	0.184824605
GNB5	0.045482993
EBP	0.287734777
CNPY3	0.393365759
YME1L1	-0.125114437
TCFL5	-0.535347342
KDM5B	0.10522845
POP4	-1.685727656
ARPP19	0.37834084
ZNF274	0.398011714
MTHFD2	-0.936164498
WASF3	-0.746758118
UTP14A	0.064789146
FRS2	-0.505758974
CLPX	-0.735436022
PGRMC1	-0.116283357
MALT1	0.032967538
CPSF4	-0.644830555
BLCAP	-0.490067214
TCERG1	0.008479521
RNPS1	-0.537867598
TOMM34	-0.927023336
PDIA5	-5.508652687
MLLT11	0.242238268
EBNA1BP2	0.208380833
TMED10	0.113539286
ASCC3	0.636083186
SLC27A3	-0.221055403
KIF2C	0.914265033
CCDC85B	-1.64671731
TLK2	0.156535313
KDELR2	0.52778247
RAB31	0.324495077
B4GAT1	0.554894701
PAPD7	-0.042997926
UBE2C	0.449656084
DUSP14	0.019838363
TOPBP1	-1.35937041
PRSS23	-0.351084188
PWP1	-0.15194156
PKIG	-0.215657711
CORO1A	0.309750319
LSM6	0.864242703
PSIP1	0.081127405
SLC2A6	1.586806238
NISCH	-0.76956439
CHEK2	-2.056209594
PRAF2	0.714594543
POLG2	-0.304135293
CHP1	-2.447695419
PNKP	0.218560211
ECD	0.277368918
DDX42	-0.227523938
TWF2	-0.870357513
CASC3	-0.321250439
COG2	0.369220927
ATF5	-0.547491938
MTF2	0.527303942
PUF60	-1.410818771
RAB11FIP2	0.105149262
CLSTN1	-0.315015048
FOXJ3	0.099454328
KIAA0907	-0.806258917
EPN2	-0.029658854
SACM1L	0.114405334
ATF6	-0.391493693
RPIA	1.2548365
RAB21	2.093150735
SPEN	-0.199879125
FBXO21	0.277100153
RBM34	-0.244884968
WDTC1	-0.118744969
XPO7	0.577255443
TBC1D9B	0.317619778
RRP1B	0.502483234
MYCBP2	-0.798454612
CDK19	0.694957256
GPATCH8	-0.012584284
MAST2	0.054532342
DCUN1D4	0.202672541
FCHO1	0.452328742
SNX13	-0.148501754
ATP11B	0.671073735
JMJD6	0.700382784
RRS1	-1.174853891
RRP12	0.432356298
SYNE2	0.092947245
PDS5A	0.281876862
CAMSAP2	-0.152804524
ATMIN	-0.333712995
TRIM2	0.114602864
KIAA1033	-1.276935041
USP22	-0.08796072
WDR7	-0.237183645
JADE2	-2.089953929
ARHGEF12	-0.888236001
PPP1R13B	-0.026325755
RRP8	-0.854626179
NUDCD3	-1.73950389
SIRT3	0.152026772
SLC35A3	0.117380485
ICMT	0.125867531
MACF1	0.265473247
SUZ12	-0.169609174
KAT6B	0.238009274
NNT	-0.617982447
ADAT1	-0.259257659
TMEM50A	1.219726324
KLHDC2	-0.019506082
ACOT9	0.440396369
SSBP2	1.37638548
NUP62	-0.025218591
ARFIP2	-0.200087905
LSM5	-0.267375112
PLA2G15	2.057535827
TMEM2	-0.040463351
ZNF318	1.249277174
FBXO7	0.211906075
SPDEF	-0.931625724
BAMBI	-0.188762933
BACE2	-0.985013962
COG4	0.614756092
MPC2	0.460663334
CLIC4	0.618773982
C2CD2	-0.904677778
TIPARP	-0.590929061
TSKU	0.591333449
RNF167	-1.865267247
LRP10	0.014579983
ZNF451	-0.837235361
SENP6	-1.271304071
RAI14	0.901064992
KIF1BP	-0.50556615
TES	-0.205761433
PHGDH	2.181575656
MYCBP	-0.026004523
CHIC2	-0.284118433
TIMM9	0.284166005
AKAP8L	0.457728267
ATP2C1	-1.300487936
TRAPPC3	-0.377120912
ATP5S	-0.972532332
TNFRSF21	0.373982847
SESN1	-0.780291855
HTATSF1	-0.472556077
TMEM97	0.679799929
BZW2	-0.419006269
CHMP4A	0.132317543
GTPBP8	0.232146487
DNAJC15	-0.497243166
PACSIN3	0.166270263
RBM15B	0.854518846
HOOK2	-0.271075904
SNX11	0.523560829
TIMM22	0.699683487
NENF	-1.33570379
UBQLN2	-0.501582742
ERO1A	0.352864683
DNTTIP2	-0.56308791
PIK3R4	-1.214085832
HDGFRP3	0.506619275
COPS7A	0.040118575
NSDHL	0.684264705
HEBP1	0.48598294
MTERF3	0.143400669
AMDHD2	-0.868074626
ISOC1	1.050685823
MRPS16	-0.250227325
FIS1	1.180051088
GOLT1B	0.412348047
GLOD4	0.187607735
GMNN	0.598336399
LAP3	0.447450325
NOSIP	-0.753352627
DERA	-0.586353548
SCCPDH	0.63129212
MRPS2	0.28752593
VPS28	-0.401609987
HSD17B11	0.825271487
NUSAP1	-0.133710176
SCAND1	-0.146007299
CD320	0.357408524
NGRN	-2.406939417
SNX7	0.87697158
ATP6V1D	0.912720412
ZNF589	0.142887011
PRKAG2	-0.34109652
UBE2J1	-0.177907951
EVL	0.809136026
HACD3	-0.325550556
UFM1	-0.188418984
LSR	-0.205440588
DHRS7	-0.32029523
CAB39	-0.51144965
ARID4B	-1.27607578
NUDT9	0.038733035
CYCS	-0.530989006
TERF2IP	-0.137408257
GFOD1	0.43919237
KCTD5	0.345512062
TMCO1	-0.771019459
DHX29	0.507668607
EXOSC4	0.95118618
DDIT4	0.076898143
PAF1	0.800189406
P4HTM	0.405280277
SLC35F2	-0.454779997
ZNF586	0.420384392
FBXL12	-1.480563402
TEX10	-0.370464832
YTHDF1	-0.013982035
TXNL4B	0.155871872
HERC6	1.053339817
PIH1D1	-0.41810976
PPP2R3C	-0.376974097
FKBP14	0.272326842
CDCA4	0.843490392
PLEKHJ1	-0.799181625
HEATR1	-0.239903331
ANO10	-0.162253387
UBR7	-1.14253591
FAIM	-0.37034246
ADI1	-1.021719277
ABCF3	-0.234960452
ENOSF1	-0.600684613
LRRC16A	-0.779669821
ANKRD10	0.032501981
STAP2	0.269150037
IARS2	0.196724057
NUP133	-1.378430828
CNDP2	0.347856164
FAM63A	-0.718557119
KDM3A	0.03843369
PECR	-0.133863166
EAPP	0.46566318
CISD1	-0.456530929
ZNF395	-0.000332534
