Gene_Id	VU-0418946-1_HEPG2_6 h_10 µM
MAPKAPK3	0.221112654
USP7	-1.66914916
REEP5	0.07849589
ST7	-0.07334508
KAT6A	-2.156598091
PDHX	-3.442079544
FOSL1	-0.036091983
HMGA2	0.470488906
NCOA3	-0.443760008
NRIP1	-1.701240897
SMC1A	-1.170601726
LAGE3	2.504962921
AXIN1	-0.911531091
CDC45	-3.587436676
FZD1	-3.747288704
FZD7	0.227910638
HIST2H2BE	-1.043480158
PIP4K2B	-2.782342911
NCK2	0.146374345
DYRK3	-1.26614368
DUSP11	-1.668079138
RAE1	-4.094554901
PIK3R3	-0.25745517
NIPSNAP1	0.400870681
IKBKAP	-0.246099427
HAT1	-2.802271843
MAPKAPK5	-1.334487557
BHLHE40	-1.414645195
MKNK1	-0.196197897
CASK	0.442518145
AKR7A2	-3.08961463
RUVBL1	-0.246472597
PSMG1	-1.03642416
BECN1	0.364900976
MBTPS1	-0.652209401
EED	-1.341346741
CTNNAL1	1.787135959
RNMT	1.764937282
PEX11A	0.781611979
CREG1	-0.255486935
INPP4B	0.224077567
IQGAP1	2.41833663
SOCS2	0.574043393
CFLAR	-0.400059551
CDK5R1	-1.176861286
ST3GAL5	-0.022516061
IER3	-0.94056052
SQSTM1	-1.049065709
SLC5A6	0.829238415
CPNE3	2.077924252
CCNA1	0.301927149
TIMELESS	-2.68567133
P4HA2	0.097554296
PLOD3	-0.450546473
NOL3	0.471239567
SLC25A14	-0.5828861
MPZL1	-3.474396229
MAP7	0.065881714
DNAJA3	0.036482781
USP14	-1.176358461
MTA1	1.688127518
PDLIM1	-0.486013502
SMC3	-1.075141549
PRPF4	-0.694662213
CCNB2	-3.480082989
CCNE2	-2.448782444
SYNGR3	3.58625555
LPAR2	-0.567174613
ARHGEF2	1.866798162
ZW10	0.512120128
AURKB	-0.644499421
VAPB	0.347074211
NOLC1	-0.922028422
UBE2L6	8.145065308
MAPKAPK2	-0.233095184
CYTH1	0.358197004
ITGB1BP1	1.162334561
BCL7B	-0.29960984
COPB2	0.423741877
ADGRG1	-1.564181685
TM9SF2	2.156471252
MAP4K4	-0.038521249
HOMER2	0.114047408
SH3BP5	-0.955787241
PIGB	-0.637416303
PSMF1	-0.081235185
SPTLC2	0.177650541
TBPL1	-0.041274309
BAG3	0.619826913
POLR1C	-0.583751082
SPAG7	0.525895
FEZ2	-1.931533337
