Gene_Id	quercetin_HEPG2_6 h_10 µM
HIST2H2BE	-0.245499581
PIP4K2B	0.216320127
NCK2	-1.894881368
DYRK3	-2.012146235
DUSP11	0.409796417
RAE1	-0.881697178
PIK3R3	-2.154169083
NIPSNAP1	0.634889543
IKBKAP	0.640548825
HAT1	0.024016943
MAPKAPK5	-2.710028887
BHLHE40	-0.538517594
MKNK1	0.949012518
CASK	0.453992128
AKR7A2	-0.478244126
RUVBL1	0.583303511
PSMG1	2.321913958
BECN1	0.822409749
MBTPS1	-1.606851578
EED	-0.52724129
CTNNAL1	-0.048516423
RNMT	1.8723737
PEX11A	-0.244435623
CREG1	0.33512947
INPP4B	0.271891028
IQGAP1	-0.141170695
SOCS2	-0.459678411
CFLAR	-0.759496331
CDK5R1	-0.319037527
ST3GAL5	0.035462525
IER3	-0.811148226
SQSTM1	1.091121197
SLC5A6	0.289445639
CPNE3	-0.524631083
CCNA1	0.546868384
TIMELESS	-2.40328145
P4HA2	0.239353016
PLOD3	-0.230026335
NOL3	0.321690202
SLC25A14	-1.619578958
MPZL1	-1.285562754
MAP7	1.163419962
DNAJA3	-1.783132792
USP14	-1.097450733
MTA1	1.600333691
PDLIM1	-0.075385228
SMC3	-3.258865118
PRPF4	-0.280168414
CCNB2	-4.768574715
CCNE2	-1.188494444
SYNGR3	-0.179098621
LPAR2	0.977090955
ARHGEF2	6.10571003
ZW10	-0.384894967
AURKB	-0.781615973
VAPB	-1.371587038
NOLC1	-0.043575004
UBE2L6	1.916647434
MAPKAPK2	-0.11191152
CYTH1	0.950176001
ITGB1BP1	1.674315453
BCL7B	0.153200671
COPB2	-2.04507494
ADGRG1	1.490776062
TM9SF2	-0.517968833
MAP4K4	0.80292964
HOMER2	0.650447369
SH3BP5	-0.963061094
PIGB	0.493302941
PSMF1	0.634485841
SPTLC2	-0.44080621
TBPL1	0.488609791
BAG3	-1.257497311
POLR1C	-0.70995903
SPAG7	0.642573535
FEZ2	0.098707557
IKBKE	-0.463294148
MTFR1	-0.969777822
HS2ST1	-0.307373822
IPO13	1.209661126
VGLL4	-0.451635599
NUP93	-1.38519156
UBE3C	0.46893537
EDEM1	-0.990988731
TRAM2	0.916270852
CEP57	-0.641365051
KIAA0100	-0.113221496
HERPUD1	1.172950983
KIAA0355	0.063411593
USP6NL	-0.148678482
CCP110	-0.497728288
MLEC	-1.5950104
TATDN2	-0.992892921
MRPL19	-2.145321846
SCRN1	-1.917033792
EFCAB14	2.82091713
KEAP1	-0.155487731
MELK	0.008636108
PLEKHM1	-0.799717963
C2CD5	0.568047822
KIAA0753	0.494576186
C2CD2L	0.69653976
TOMM70A	2.351307392
KIAA0196	0.285083264
KLHL21	0.154835463
ARNT2	-0.354092687
FAM20B	1.309262037
NCAPD2	-0.1146155
PAN2	-0.806142867
LPGAT1	0.370223284
KIF14	0.34198162
OXSR1	0.553569376
MVP	-0.526495814
DMTF1	0.262776911
GNPDA1	-0.942440093
HDAC6	0.762325525
PARP2	1.335947752
MAMLD1	-0.680881143
DNAJB6	1.03379488
SMC4	-0.723484635
ABCC5	-1.486988664
ABCB6	-0.522885084
DNM1L	-0.207870856
TSPAN3	-1.137514949
KIF20A	-0.321232587
ARL4C	0.64634794
TRAP1	-0.57995528
G3BP1	-0.501444817
MBNL2	-1.454333067
CEBPZ	-1.307828903
SLC25A13	0.404195815
SORBS3	0.322802484
RBM6	0.895277381
TXNDC9	-0.046557426
TRIM13	0.697381794
TRIB1	1.380955935
MFSD10	-0.412376583
