Gene_Id	YC-1_HEPG2_6 h_10 µM
SACM1L	0.460003197
ATF6	-2.50553751
RPIA	-0.1538167
RAB21	-0.954932153
SPEN	-0.324488133
FBXO21	-0.134906784
RBM34	0.03197962
WDTC1	0.451552927
XPO7	-0.914424896
TBC1D9B	-0.160338923
RRP1B	0.185107127
MYCBP2	-1.467388153
CDK19	1.051528573
GPATCH8	0.134828761
MAST2	0.371254295
DCUN1D4	1.687207818
FCHO1	0.600094855
SNX13	0.122874036
ATP11B	1.17915833
JMJD6	4.296015263
RRS1	-0.488718003
RRP12	2.071741104
SYNE2	0.465219378
PDS5A	0.659289598
CAMSAP2	-1.175302267
ATMIN	0.644952893
TRIM2	-2.064636707
KIAA1033	0.342216969
USP22	0.748605788
WDR7	-0.072845384
JADE2	-2.032071114
ARHGEF12	-1.252468824
PPP1R13B	-0.652024329
RRP8	1.154045939
NUDCD3	-4.464798927
SIRT3	2.886688232
SLC35A3	-0.854151011
ICMT	0.850637555
MACF1	0.239453971
SUZ12	0.767865419
KAT6B	0.345013499
NNT	-0.788473248
ADAT1	1.321479917
TMEM50A	2.757574081
KLHDC2	-4.256392479
ACOT9	0.48391813
SSBP2	2.533323288
NUP62	-1.308752775
ARFIP2	-1.974183083
LSM5	1.891404748
PLA2G15	2.108550549
TMEM2	2.790077209
ZNF318	1.113864064
FBXO7	3.394761324
SPDEF	-1.17688477
BAMBI	-0.518440425
BACE2	-2.121407509
COG4	0.763812721
MPC2	0.792927623
CLIC4	0.530437887
C2CD2	-1.884952307
TIPARP	-0.223568633
TSKU	-0.391295075
RNF167	-2.288393021
LRP10	0.102162048
ZNF451	0.540621519
SENP6	1.602086782
RAI14	-0.19375962
KIF1BP	1.563969851
TES	0.056664363
PHGDH	0.318683594
MYCBP	-0.078056172
CHIC2	0.625224471
TIMM9	-0.152527571
AKAP8L	1.151319146
ATP2C1	-3.682080269
TRAPPC3	0.43499136
ATP5S	-1.415846467
TNFRSF21	1.921348214
SESN1	-1.299623609
HTATSF1	-2.086095572
TMEM97	-0.943126738
BZW2	0.283495963
CHMP4A	4.627144814
GTPBP8	1.490095377
DNAJC15	0.150100514
PACSIN3	-1.098065495
RBM15B	4.879435062
HOOK2	-1.097816229
SNX11	1.778780699
TIMM22	-0.143004715
NENF	-1.242229581
UBQLN2	0.335843205
ERO1A	-3.457316399
DNTTIP2	-0.36667785
PIK3R4	-3.271619558
HDGFRP3	-4.635932922
COPS7A	0.576534748
NSDHL	-0.989566326
HEBP1	0.417560279
MTERF3	0.607375622
AMDHD2	0.910030007
ISOC1	-0.302654535
MRPS16	0.401631594
FIS1	-0.34050864
GOLT1B	0.356531322
GLOD4	-0.264264137
GMNN	-0.255103439
LAP3	-1.018581867
NOSIP	-1.631682873
DERA	-0.390448809
SCCPDH	-0.095345914
MRPS2	0.926507652
VPS28	-1.381217599
