Gene_Id	spiperone_HEPG2_24 h_10 µM
STX1A	-0.373308867
STX4	4.122346401
STXBP1	-2.674561024
STXBP2	1.185061812
SUPV3L1	0.606743217
SUV39H1	1.459292173
SYK	1.426636934
SYPL1	-2.430609703
TARBP1	-0.931056619
TBP	1.361600637
TBX2	1.195625424
TBXA2R	-0.21508196
TCEA2	0.736528158
VPS72	-0.184795454
TCTA	-0.780996799
DYNLT3	-4.70962286
TERT	1.068515182
TESK1	1.253048182
TFAP2A	-1.708811045
TFDP1	0.67838943
TGFB3	1.13696599
TGFBR2	2.214499712
TIAM1	-0.045138612
TIMP2	0.778307319
TJP1	-0.47047314
TLE1	-3.636546373
TLR4	1.673525095
TSPAN6	0.71706605
TSPAN4	-0.131824434
TOP2A	2.535603046
TP53	2.054475546
TP53BP1	-0.003026739
TP53BP2	1.309104681
TPD52L2	-1.798155308
TPM1	-0.478096038
TSTA3	1.197212696
TXNRD1	-0.201040834
UBE2A	2.333451986
UGDH	1.033780336
NR1H2	-1.654640913
USP1	2.403738022
VDAC1	5.864678383
WFS1	0.852401555
WRB	1.202323914
XBP1	-0.770662248
XPNPEP1	-1.494647026
ZFP36	-1.279882908
ZNF131	-0.524024904
ZMYM2	0.355681568
PAX8	-3.604959011
CXCR4	1.165321231
IFRD2	-0.192787394
MAPKAPK3	0.058802947
USP7	-2.462667465
REEP5	-0.45769918
ST7	-0.250260353
KAT6A	-1.465828419
PDHX	-5.833241463
FOSL1	-0.145799071
HMGA2	-1.894953012
NCOA3	-0.607690692
NRIP1	-0.420226276
SMC1A	1.498295546
LAGE3	3.645038128
AXIN1	-0.864248395
CDC45	-2.759958744
FZD1	-0.049057722
FZD7	1.08470118
HIST2H2BE	-1.019971132
PIP4K2B	-1.065067768
NCK2	0.921842515
DYRK3	-0.368448436
DUSP11	1.558998585
RAE1	-3.416069984
PIK3R3	0.768636584
NIPSNAP1	1.077724218
IKBKAP	-0.036765248
HAT1	-2.457962513
MAPKAPK5	-1.836936355
BHLHE40	-4.210987568
MKNK1	0.246134132
CASK	0.43486172
AKR7A2	2.060338497
RUVBL1	3.157821178
PSMG1	0.193260625
BECN1	0.234762609
MBTPS1	-1.278453827
EED	-0.091966912
CTNNAL1	1.922441363
RNMT	3.499248028
PEX11A	-0.960283935
CREG1	1.510072708
INPP4B	0.639238238
IQGAP1	0.169246122
SOCS2	-3.283297062
CFLAR	-0.465552628
CDK5R1	-2.222417355
ST3GAL5	1.780197859
IER3	-0.994946301
SQSTM1	0.006284606
SLC5A6	1.01227963
CPNE3	2.222206354
CCNA1	1.860387206
TIMELESS	-3.995412827
P4HA2	1.009253383
PLOD3	1.276114702
NOL3	-1.353082776
SLC25A14	0.265121818
MPZL1	-2.95474267
MAP7	0.086951211
DNAJA3	-0.292170435
USP14	-0.244123504
MTA1	1.203447461
PDLIM1	-0.211684912
SMC3	-0.992131591
PRPF4	-0.467478722
CCNB2	-1.996605873
CCNE2	-1.295456409
SYNGR3	0.985096514
LPAR2	0.557217896
ARHGEF2	0.182477772
ZW10	1.675854921
AURKB	0.882527709
VAPB	1.84263587
NOLC1	-0.967356384
UBE2L6	1.009171844
MAPKAPK2	0.200490907
CYTH1	2.817943096
ITGB1BP1	3.6017735
BCL7B	-0.131506056
COPB2	0.84454757
ADGRG1	1.34869957
TM9SF2	0.512132168
MAP4K4	-1.184659719
HOMER2	-0.867858946
SH3BP5	0.040572047
PIGB	2.427029133
PSMF1	0.432487518
SPTLC2	2.670893192
TBPL1	-0.266530514
BAG3	0.386199057
POLR1C	1.609228373
SPAG7	-1.780027151
FEZ2	-0.092133351
IKBKE	-1.077602625
MTFR1	1.452916145
HS2ST1	0.509958625
IPO13	-1.162082791
VGLL4	2.032919407
NUP93	-1.875578642
UBE3C	1.40460217
EDEM1	0.848230958
TRAM2	-1.035265803
CEP57	-1.387569785
KIAA0100	-0.100884594
HERPUD1	1.2162081
KIAA0355	-0.403758705
USP6NL	-0.137364745
CCP110	-2.072360039
MLEC	-2.421085119
TATDN2	-0.644450903
MRPL19	1.075086832
SCRN1	1.596754193
EFCAB14	0.454885274
KEAP1	0.499541044
MELK	0.889758825
PLEKHM1	0.225145429
C2CD5	-0.391616553
KIAA0753	1.507006049
C2CD2L	-0.472871304
TOMM70A	2.261312485
KIAA0196	-0.050423123
KLHL21	2.179589987
ARNT2	1.77227664
FAM20B	-0.160523623
NCAPD2	-7.71949482
PAN2	-0.774812043
LPGAT1	0.788001299
KIF14	1.812942028
OXSR1	0.979760051
MVP	-0.057639018
DMTF1	-0.883437335
GNPDA1	-2.699459553
HDAC6	-0.666294038
PARP2	-3.801983833
MAMLD1	0.650907099
DNAJB6	0.361315072
SMC4	-0.640361905
ABCC5	0.344866186
ABCB6	-1.138745904
DNM1L	-0.606158316
TSPAN3	0.173031271
KIF20A	0.718715489
ARL4C	0.055563986
TRAP1	0.248155355
G3BP1	1.556303382
MBNL2	-1.214458466
CEBPZ	-0.646810532
SLC25A13	-0.327538222
SORBS3	-0.673079133
RBM6	0.131955296
TXNDC9	-0.260730833
TRIM13	1.836848259
TRIB1	1.910361528
MFSD10	0.156469345
SLC35B1	3.327972174
TIMM17B	0.880473316
AKAP8	1.854719281
STUB1	-0.514869988
NET1	0.109193325
SMNDC1	1.451224804
PAK4	-1.733770847
TNIP1	1.015185714
IKZF1	0.463687003
TMEM5	-3.344367027
HMG20B	3.000764847
MYL9	0.306429207
LYPLA1	-1.941435933
PPIE	0.591209769
VAV3	0.959821939
LRRC41	2.596439838
CRTAP	-0.810686171
VAT1	-0.394626409
STK25	-1.031259656
APPBP2	1.816098928
CHERP	2.897991896
HYOU1	1.665716887
RPP38	-0.412026495
SLC35A1	-0.462550581
DRAP1	0.777052343
PAICS	0.090729132
ST6GALNAC2	0.781874657
STAMBP	-2.080206871
NPRL2	0.30807808
IGF2BP2	3.859456301
YKT6	-1.680405855
CGRRF1	-1.374315739
RRAGA	0.314560145
GNB5	1.764201283
EBP	0.968536437
CNPY3	1.029284239
YME1L1	2.348135471
TCFL5	0.412247777
KDM5B	-2.118175507
POP4	-3.15725565
ARPP19	-1.958649874
ZNF274	-1.873135686
MTHFD2	-3.39173317
WASF3	0.996192038
UTP14A	-0.074410304
FRS2	-0.19116053
CLPX	-5.164082527
PGRMC1	0.079156004
MALT1	2.536426783
CPSF4	0.817618251
BLCAP	-0.152941525
TCERG1	0.582338452
RNPS1	-0.712376595
TOMM34	-1.14276731
PDIA5	1.55094099
MLLT11	-0.503129601
EBNA1BP2	1.743597627
TMED10	-0.836340725
ASCC3	-0.794445574
SLC27A3	-0.283573449
KIF2C	-1.194879413
CCDC85B	0.509649277
TLK2	1.193971872
KDELR2	-0.019768337
RAB31	0.8944242
B4GAT1	1.334237814
PAPD7	0.806175947
UBE2C	1.815225601
DUSP14	-0.015439272
TOPBP1	0.240797833
PRSS23	0.59798348
PWP1	-0.088454574
PKIG	-0.643149555
CORO1A	-4.96694994
LSM6	-0.302155316
PSIP1	0.804891288
SLC2A6	-0.869873285
NISCH	-2.962590694
CHEK2	-0.799342453
PRAF2	4.086103916
POLG2	-3.146548033
CHP1	-0.73263967
PNKP	1.361057401
ECD	-0.831290007
DDX42	-0.237155423
TWF2	-0.577947557
CASC3	1.175307751
COG2	-0.537114561
ATF5	0.631826282
MTF2	-4.565314293
PUF60	-3.593963623
RAB11FIP2	0.221737236
CLSTN1	0.9034881
FOXJ3	-0.4375512
KIAA0907	0.812829256
EPN2	-0.460480034
SACM1L	0.475300401
ATF6	-3.200294495
RPIA	1.012690067
RAB21	0.866829872
SPEN	1.619815826
FBXO21	0.538124621
RBM34	-1.196622372
WDTC1	0.9090119
XPO7	-0.87721771
TBC1D9B	-0.154040277
RRP1B	0.597263098
MYCBP2	-2.939665318
CDK19	0.821607292
GPATCH8	0.488872468
MAST2	0.67764461
DCUN1D4	-1.210919023
FCHO1	1.180784941
SNX13	0.098436013
ATP11B	1.921279311
JMJD6	2.218816996
RRS1	-3.077460051
RRP12	-2.887394667
SYNE2	1.216523051
PDS5A	1.173651814
CAMSAP2	-2.429725885
ATMIN	-0.76098156
TRIM2	0.857959628
KIAA1033	0.017139941
USP22	-0.609317064
WDR7	0.523914456
JADE2	-0.31636101
ARHGEF12	0.433152825
PPP1R13B	-1.873742342
RRP8	-4.360630989
NUDCD3	-3.017113924
SIRT3	-0.523934007
SLC35A3	1.890735149
ICMT	0.141240105
MACF1	0.010890268
SUZ12	-1.643794775
KAT6B	-1.754881144
NNT	-0.120135464
ADAT1	2.106854916
TMEM50A	-0.875877619
KLHDC2	2.019331455
ACOT9	3.746593714
SSBP2	-0.471431345
NUP62	0.116252825
ARFIP2	0.299034238
LSM5	1.750094056
PLA2G15	-1.26011157
TMEM2	3.076656342
ZNF318	3.159156799
FBXO7	1.297799945
SPDEF	0.031082556
BAMBI	-0.82567811
BACE2	-0.373083949
COG4	2.278735876
MPC2	-1.168067813
CLIC4	-0.954967856
C2CD2	-1.566173196
TIPARP	-1.165615082
TSKU	1.842120647
RNF167	0.417219579
LRP10	-1.481171131
ZNF451	-0.590034366
SENP6	0.174510702
RAI14	0.259038448
KIF1BP	0.941550195
TES	1.096635342
PHGDH	0.919739127
MYCBP	1.159116745
CHIC2	-2.204321861
TIMM9	-1.150807977
AKAP8L	1.495836616
ATP2C1	0.63316834
TRAPPC3	0.490102679
ATP5S	-2.1097157
TNFRSF21	-0.964106679
SESN1	0.994511068
HTATSF1	2.801027775
TMEM97	0.589134276
BZW2	-0.70548296
CHMP4A	-0.366266936
GTPBP8	0.21794565
DNAJC15	-0.246031672
PACSIN3	0.761641741
RBM15B	1.877534389
HOOK2	0.07322067
SNX11	-0.306025863
TIMM22	-3.021239519
NENF	-3.597504616
UBQLN2	0.817523599
ERO1A	0.32602942
DNTTIP2	-1.604674339
PIK3R4	1.610750675
HDGFRP3	-0.329890966
COPS7A	0.563304901
NSDHL	0.289926201
HEBP1	-1.73068881
MTERF3	1.679435015
AMDHD2	0.820145249
ISOC1	-1.293161511
MRPS16	1.099866509
FIS1	-0.196160525
GOLT1B	-0.073084444
GLOD4	-1.159334183
GMNN	-1.544803023
LAP3	2.336052895
