Gene_Id	geldanamycin_HEPG2_24 h_10 µM
SRC	1.44071396
STAT1	0.398773575
STAT3	3.444195209
STAT5B	2.74282726
AURKA	0.573101429
STK10	0.32141189
STX1A	-2.726154769
STX4	0.339116834
STXBP1	-1.441195282
STXBP2	1.28848452
SUPV3L1	1.08949817
SUV39H1	-0.123651101
SYK	0.570019768
SYPL1	-0.632102702
TARBP1	-0.374965402
TBP	2.753984133
TBX2	0.325622877
TBXA2R	1.468459766
TCEA2	-2.26070907
VPS72	3.202151805
TCTA	0.164195331
DYNLT3	-1.588310479
TERT	-4.830428465
TESK1	2.99954305
TFAP2A	-1.603017472
TFDP1	4.699932422
TGFB3	-0.309067674
TGFBR2	0.146520826
TIAM1	1.367074379
TIMP2	0.25757974
TJP1	0.743905922
TLE1	0.69864162
TLR4	1.456809587
TSPAN6	0.694398433
TSPAN4	-2.866037475
TOP2A	1.349728612
TP53	-0.257210148
TP53BP1	3.063765861
TP53BP2	-3.597950986
TPD52L2	-1.348024686
TPM1	-1.856404363
TSTA3	-1.486791935
TXNRD1	2.194565995
UBE2A	-5.515340133
UGDH	-2.778182023
NR1H2	2.587654735
USP1	2.183544466
VDAC1	1.17047098
WFS1	-2.815250419
WRB	0.630594547
XBP1	0.4706882
XPNPEP1	-0.011705466
ZFP36	-3.969030591
ZNF131	1.757642156
ZMYM2	2.52875743
PAX8	-4.309430399
CXCR4	-1.601808464
IFRD2	0.863722507
MAPKAPK3	1.914243544
USP7	-2.973918388
REEP5	1.196668851
ST7	0.33786538
KAT6A	0.348619043
PDHX	-0.229564768
FOSL1	0.0699146
HMGA2	-3.870449557
NCOA3	1.000050077
NRIP1	-5.100097336
SMC1A	-0.544577635
LAGE3	4.474981351
AXIN1	0.322888663
CDC45	0.666830711
FZD1	1.548735753
FZD7	-5.528455584
HIST2H2BE	1.273357163
PIP4K2B	-0.157041908
NCK2	-2.399627429
DYRK3	-3.336016541
DUSP11	-7.19852411
RAE1	1.13860565
PIK3R3	0.569178219
NIPSNAP1	-0.133885596
IKBKAP	-0.605084305
HAT1	1.609997514
MAPKAPK5	-4.230209395
BHLHE40	-0.817106293
MKNK1	0.483389907
CASK	0.804173978
AKR7A2	0.668672146
RUVBL1	1.488811647
PSMG1	1.086451264
BECN1	3.333167182
MBTPS1	0.001099472
EED	0.60781738
CTNNAL1	-1.07702838
RNMT	0.522420892
PEX11A	-0.597961955
CREG1	1.965064499
INPP4B	1.386545696
IQGAP1	0.202308592
SOCS2	-1.133171154
CFLAR	-2.574215517
CDK5R1	-0.274985957
ST3GAL5	-0.29629047
IER3	0.307409026
SQSTM1	0.08626229
SLC5A6	1.578035013
CPNE3	0.580441886
CCNA1	1.361695558
TIMELESS	-0.075691168
P4HA2	1.086689633
PLOD3	1.283859239
NOL3	-0.288246032
SLC25A14	2.62907037
MPZL1	0.294133941
MAP7	2.396543099
DNAJA3	-3.212675927
USP14	-2.466810409
MTA1	0.536177473
PDLIM1	-2.791313105
SMC3	-3.292936106
PRPF4	-1.51445166
CCNB2	-2.457223459
CCNE2	-4.176929276
SYNGR3	2.086548492
LPAR2	-1.322791494
ARHGEF2	1.592495527
ZW10	-0.10798737
AURKB	1.936655513
VAPB	-1.220104917
NOLC1	-0.889643036
