Gene_Id	thapsigargin_HEPG2_6 h_10 µM
SNAP25	-0.09614709
SNCA	-0.839123011
SOX2	-0.367643595
SOX4	-0.20609881
SPAG4	-2.858838558
SPP1	-1.519123554
SPR	-0.626205146
SPTAN1	-2.625589371
SRC	0.070498794
STAT1	0.759240091
STAT3	-2.733721256
STAT5B	0.514603794
AURKA	-0.661724448
STK10	-2.052048683
STX1A	-0.923131585
STX4	0.49570334
STXBP1	-1.919255733
STXBP2	-0.501880109
SUPV3L1	0.116627008
SUV39H1	-2.54502964
SYK	0.589603186
SYPL1	-1.018549204
TARBP1	-0.958987594
TBP	-0.900128603
TBX2	0.751315236
TBXA2R	0.50025475
TCEA2	0.447176903
VPS72	1.075404644
TCTA	0.580285788
DYNLT3	-1.500971317
TERT	2.216701746
TESK1	0.509389102
TFAP2A	0.902319491
TFDP1	1.126126528
TGFB3	2.824905396
TGFBR2	2.673617363
TIAM1	-1.743536711
TIMP2	-0.156491458
TJP1	1.773640394
TLE1	1.21421206
TLR4	1.451186419
TSPAN6	1.301398277
TSPAN4	0.056496486
TOP2A	1.801912308
TP53	1.907803535
TP53BP1	0.817699552
TP53BP2	0.789995909
TPD52L2	-1.168827057
TPM1	-1.062846184
TSTA3	0.429345995
TXNRD1	1.69467628
UBE2A	1.388807058
UGDH	-0.855237484
NR1H2	-0.595046878
USP1	0.782593727
VDAC1	2.846479654
WFS1	0.958331287
WRB	-0.197568357
XBP1	1.428878307
XPNPEP1	-0.008144887
ZFP36	-2.127494335
ZNF131	0.629325271
ZMYM2	1.387631416
PAX8	-2.664173603
CXCR4	1.422019005
IFRD2	-0.078266531
MAPKAPK3	0.18767345
USP7	-0.873683751
REEP5	-0.05684647
ST7	1.310514688
KAT6A	-2.912464142
PDHX	-1.37396729
FOSL1	0.198396444
HMGA2	-1.45593667
NCOA3	1.595468521
NRIP1	-0.898213148
SMC1A	-0.83985579
LAGE3	3.180952549
AXIN1	-1.003984451
CDC45	-2.903238773
FZD1	-2.343289852
FZD7	0.614916146
HIST2H2BE	-0.202638954
PIP4K2B	-0.239143014
NCK2	-0.415021896
DYRK3	-2.371646881
DUSP11	-0.510859251
RAE1	-5.850831985
PIK3R3	-0.344200075
NIPSNAP1	0.241261274
IKBKAP	0.46054554
HAT1	-2.826905489
MAPKAPK5	-2.194531918
BHLHE40	-2.033256054
MKNK1	-0.069294885
CASK	0.281452537
AKR7A2	-0.456765056
RUVBL1	0.373879284
PSMG1	1.686755896
BECN1	1.895709753
MBTPS1	-1.294002771
EED	-1.434895396
