Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
PXMP2	-2.194887877
PXN	0.243042752
PYCR1	0.240884587
PYGL	-0.65161562
RAB4A	-0.021691211
RAB27A	-1.500010729
RAC2	-3.861432314
RAD9A	-0.220475391
RAD51C	1.683814168
MOK	-0.185260966
RALA	-0.146836892
RALB	-0.288957536
RALGDS	-0.289584547
RAP1GAP	-0.080000408
RASA1	0.223558322
RB1	-0.09773536
KDM5A	-0.005405053
RELB	-0.413435727
RFC2	0.370003521
RFC5	-0.690874338
RFNG	0.383699298
RFX5	-0.295281678
RGS2	-0.558539927
RHEB	-0.121935345
RNH1	1.374609828
RPA1	0.175500438
RPA2	-0.59394151
RPA3	0.5371207
MRPL12	-0.28498137
RPN1	0.090875186
RPS5	1.876214266
RPS6	0.390122205
RPS6KA1	0.486255944
RSU1	-0.281908572
RTN2	0.399397373
S100A4	0.845381618
S100A13	0.052210175
SATB1	-0.448579192
SCP2	0.709177017
CCL2	0.114761174
SDHB	-0.216648489
SGCB	-0.530795097
SHB	0.144217938
SHC1	0.341629773
SKIV2L	0.124535821
SKP1	0.629902482
SLC1A4	1.225379348
SMARCA4	0.232938603
SMARCC1	0.574147582
SMARCD2	-0.293615162
SNAP25	-0.840566695
SNCA	0.712767065
SOX2	-0.371295899
SOX4	0.412587345
SPAG4	0.121658459
SPP1	-0.200646713
SPR	0.548639536
SPTAN1	-0.143364027
SRC	-0.835603058
STAT1	-1.34156692
STAT3	0.39447099
STAT5B	0.15908578
AURKA	-0.581389189
STK10	0.17783016
STX1A	-0.089055143
STX4	0.148491293
STXBP1	0.174332082
STXBP2	0.335206658
SUPV3L1	-0.750533581
SUV39H1	-0.166176245
SYK	-0.558448195
SYPL1	-1.247982621
TARBP1	-0.902635753
TBP	1.774611712
TBX2	1.49277246
TBXA2R	0.251132548
TCEA2	-0.04366298
VPS72	-0.660270095
TCTA	-0.594532609
DYNLT3	-0.213914603
TERT	0.45300889
TESK1	-0.332837164
TFAP2A	0.139075771
TFDP1	-0.429129332
TGFB3	-0.321902215
TGFBR2	0.010167138
TIAM1	0.220821694
TIMP2	0.498246878
TJP1	0.706737995
TLE1	0.001975514
TLR4	-0.981047928
TSPAN6	0.079117976
TSPAN4	0.48059842
TOP2A	-0.680274248
TP53	-0.238348305
TP53BP1	0.839387059
TP53BP2	-1.56497097
TPD52L2	0.457860053
TPM1	0.373147428
TSTA3	0.327630699
TXNRD1	-0.161322251
UBE2A	-0.045481391
UGDH	0.138999268
NR1H2	-0.081085026
USP1	0.505912781
VDAC1	-1.184956789
WFS1	-0.269922972
WRB	-0.202354476
XBP1	-1.308029413
XPNPEP1	-0.507224858
ZFP36	-0.272744447
ZNF131	-0.461984783
ZMYM2	-1.420159101
PAX8	0.330971658
CXCR4	-0.17058906
IFRD2	4.031714439
MAPKAPK3	0.014943689
USP7	0.585151434
REEP5	0.127191573
ST7	1.052453637
KAT6A	0.315193832
PDHX	0.509247065
FOSL1	-0.993676186
HMGA2	0.170953065
NCOA3	-0.404377759
NRIP1	0.414672077
SMC1A	-0.507911921
LAGE3	-0.459672332
AXIN1	-0.199267536
CDC45	-1.625023603
FZD1	-0.360623419
FZD7	0.149827898
HIST2H2BE	0.700126648
PIP4K2B	0.034080535
NCK2	0.362533927
DYRK3	0.36411041
DUSP11	-0.426297754
RAE1	-0.54491353
PIK3R3	-0.466735274
NIPSNAP1	0.943850875
IKBKAP	-0.945492506
HAT1	-0.627602816
MAPKAPK5	0.854602158
BHLHE40	0.048595428
MKNK1	-0.681945801
CASK	-0.483473718
AKR7A2	-0.517012
RUVBL1	-0.395428807
PSMG1	-0.828302145
BECN1	-0.158414871
MBTPS1	0.254741609
EED	-0.005123645
CTNNAL1	-0.373250186
RNMT	1.536436319
PEX11A	-0.150252804
CREG1	0.040915862
INPP4B	0.317451477
IQGAP1	-0.180146948
SOCS2	1.293282866
CFLAR	-0.375704557
CDK5R1	0.275333047
ST3GAL5	-0.045357309
IER3	0.380705327
SQSTM1	-0.13655284
SLC5A6	0.518212795
CPNE3	-0.983032048
CCNA1	-0.235270247
TIMELESS	-0.403391719
P4HA2	-0.656321287
PLOD3	-0.440710008
NOL3	0.426136494
SLC25A14	-0.250443578
MPZL1	0.761527896
MAP7	-0.156910241
DNAJA3	-0.997971416
USP14	-0.025670744
MTA1	-0.057536252
PDLIM1	-2.435000896
SMC3	-0.128435895
PRPF4	0.350472003
CCNB2	-0.427555025
CCNE2	0.987324476
SYNGR3	-0.674541712
LPAR2	-0.544821262
ARHGEF2	0.172127441
ZW10	0.04733748
AURKB	-0.391338766
VAPB	1.998191714
NOLC1	-0.051857479
UBE2L6	-0.852902532
MAPKAPK2	-0.359524488
CYTH1	-0.262418777
ITGB1BP1	0.339398831
BCL7B	0.998789787
COPB2	-0.987167716
ADGRG1	-0.573010266
TM9SF2	0.064538747
MAP4K4	0.048303321
HOMER2	-0.314352959
SH3BP5	1.345122695
PIGB	0.087160826
PSMF1	0.198579922
SPTLC2	0.846211553
TBPL1	1.21604979
BAG3	-1.136931062
POLR1C	1.074613094
SPAG7	-0.014572181
FEZ2	-0.576988876
IKBKE	1.375991821
MTFR1	1.906903505
HS2ST1	-0.395810664
IPO13	0.617101431
VGLL4	-0.109272465
NUP93	-0.661281109
UBE3C	0.353591919
EDEM1	-0.699707568
TRAM2	-0.29097119
CEP57	0.450502396
KIAA0100	0.141727388
HERPUD1	-0.823287964
KIAA0355	0.845963359
USP6NL	0.01194296
CCP110	0.155214012
MLEC	-0.126135916
TATDN2	-1.518857002
MRPL19	0.836075902
SCRN1	0.058679938
EFCAB14	-1.471584439
KEAP1	-0.319004238
MELK	0.013767153
PLEKHM1	-0.650311291
C2CD5	1.139803529
KIAA0753	1.227337241
C2CD2L	0.072300218
TOMM70A	0.298108578
KIAA0196	-1.127120018
KLHL21	1.193727493
ARNT2	0.385258973
FAM20B	-0.573893309
NCAPD2	0.032419629
PAN2	0.031146064
LPGAT1	1.050710797
