Gene_Id	benzo(a)pyrene_VCAP_6 h_10 µM
RAB4A	-0.8144539
RAB27A	-1.058367372
RAC2	-0.144331127
RAD9A	0.014440298
RAD51C	0.597216606
MOK	-0.023771942
RALA	0.547969818
RALB	-0.090669528
RALGDS	-0.377152741
RAP1GAP	-0.472522289
RASA1	0.430400074
RB1	0.450241208
KDM5A	-1.180422902
RELB	0.168086231
RFC2	0.340070069
RFC5	0.683111727
RFNG	0.881794035
RFX5	-0.687818348
RGS2	0.186461121
RHEB	0.380258799
RNH1	0.380077899
RPA1	-0.583861828
RPA2	-0.463135719
RPA3	-0.375912189
MRPL12	-1.315285444
RPN1	-0.589398324
RPS5	2.118175268
RPS6	1.018065095
RPS6KA1	-0.339624643
RSU1	-0.311473131
RTN2	-0.337399483
S100A4	-0.190300494
S100A13	-0.465223998
SATB1	-0.401636213
SCP2	-0.020365786
CCL2	0.583883047
SDHB	-0.493917525
SGCB	0.248659223
SHB	-0.221035391
SHC1	-0.418779701
SKIV2L	-0.166455418
SKP1	0.209065601
SLC1A4	0.366108954
SMARCA4	-0.784407794
SMARCC1	-0.147114053
SMARCD2	-2.142082691
SNAP25	-0.505828738
SNCA	0.07863123
SOX2	0.928334355
SOX4	0.24846296
SPAG4	0.318357766
SPP1	0.059694696
SPR	0.096932344
SPTAN1	0.667074084
SRC	-1.118424654
STAT1	-0.224140078
STAT3	-0.150339141
STAT5B	-0.156315893
AURKA	-0.982227266
STK10	0.685268283
STX1A	0.285697877
STX4	0.347207397
STXBP1	0.178141266
STXBP2	-0.172458515
SUPV3L1	-0.733712912
SUV39H1	0.146802187
SYK	0.28449589
SYPL1	-0.735134721
TARBP1	0.13539204
TBP	0.208693415
TBX2	-0.754222155
TBXA2R	-0.193900943
TCEA2	-0.819013536
VPS72	-0.067748502
TCTA	0.338364154
DYNLT3	0.245289356
TERT	1.30409348
TESK1	-0.289726645
TFAP2A	0.891384363
TFDP1	0.187724262
TGFB3	-0.178713143
TGFBR2	-0.307137012
TIAM1	0.616826355
TIMP2	-0.393352151
TJP1	-0.600052774
TLE1	-0.322610259
TLR4	-1.305709124
TSPAN6	-0.090327859
TSPAN4	-0.01340802
TOP2A	-0.494609714
TP53	0.075441651
TP53BP1	1.056360722
TP53BP2	-0.945423007
TPD52L2	-0.016788602
TPM1	0.833678842
TSTA3	-0.176070124
TXNRD1	0.140353739
UBE2A	0.136271387
UGDH	0.040016979
NR1H2	-0.285988748
USP1	-0.643205643
VDAC1	0.145359784
WFS1	1.054699659
WRB	-4.580579758
XBP1	-0.053158671
XPNPEP1	-0.175032526
ZFP36	0.690516293
ZNF131	3.084901333
ZMYM2	0.611714661
PAX8	0.315411448
CXCR4	-0.710297108
IFRD2	0.456653118
MAPKAPK3	0.11752069
USP7	0.797501028
REEP5	0.190101922
ST7	0.328126013
KAT6A	0.649372935
PDHX	0.125013351
FOSL1	0.446995139
HMGA2	0.124563016
NCOA3	-0.16197364
NRIP1	0.941630065
SMC1A	-0.046686828
LAGE3	-1.680967569
AXIN1	0.213192672
CDC45	-0.729084015
FZD1	-0.156011686
FZD7	-1.303019047
HIST2H2BE	0.410559803
PIP4K2B	-0.163051069
NCK2	-0.095133208
DYRK3	0.271994561
DUSP11	-0.853797913
RAE1	0.185539052
PIK3R3	0.449089438
NIPSNAP1	2.069153786
IKBKAP	0.189394802
HAT1	-0.297269315
MAPKAPK5	-0.219392046
BHLHE40	0.447938919
MKNK1	-0.194846675
CASK	-0.007647291
AKR7A2	-0.944694459
RUVBL1	0.17189905
PSMG1	-0.663846791
BECN1	0.170761228
MBTPS1	-0.255953491
EED	0.077199675
CTNNAL1	0.360518932
RNMT	-0.377418667
PEX11A	-0.12090233
CREG1	0.500487626
INPP4B	0.874127328
IQGAP1	-0.641498387
SOCS2	0.592588007
CFLAR	0.308671772
CDK5R1	-0.198866576
ST3GAL5	0.73837322
IER3	0.053565096
SQSTM1	-1.167218447
SLC5A6	-0.256896108
CPNE3	-0.254550874
CCNA1	-1.311332941
TIMELESS	1.053961992
P4HA2	-0.451756805
PLOD3	-0.574966013
NOL3	0.816093564
SLC25A14	0.010926599
MPZL1	0.97292006
MAP7	-0.640932441
DNAJA3	0.031361572
USP14	-0.519336164
MTA1	-0.274213582
PDLIM1	-1.497832656
SMC3	-0.462984473
PRPF4	0.287459403
CCNB2	0.10715396
CCNE2	-2.184113979
SYNGR3	-0.413723648
LPAR2	-0.1354817
ARHGEF2	-0.725725234
ZW10	-0.626473665
AURKB	-0.094080277
VAPB	0.094749652
NOLC1	-0.137228251
UBE2L6	-0.688089192
MAPKAPK2	0.132827967
CYTH1	-0.012260549
ITGB1BP1	-0.064060152
BCL7B	-1.028005362
COPB2	-0.123592764
ADGRG1	-0.880997837
TM9SF2	-0.662857056
MAP4K4	-0.680581748
HOMER2	0.320765436
SH3BP5	-0.050382242
PIGB	0.067855462
PSMF1	0.260237128
SPTLC2	0.100430518
TBPL1	0.700964689
BAG3	0.437137932
POLR1C	0.055898428
SPAG7	-0.59965384
FEZ2	-0.362581998
IKBKE	0.897526383
MTFR1	0.766976953
HS2ST1	-0.399002641
IPO13	-0.29133743
VGLL4	-0.180379972
NUP93	0.317601353
UBE3C	1.364456654
EDEM1	0.385907292
TRAM2	-0.216492906
CEP57	0.560324907
KIAA0100	1.002237558
HERPUD1	-0.043293893
KIAA0355	0.348953128
USP6NL	0.233764797
CCP110	0.540263712
MLEC	-0.868846536
TATDN2	-0.15060012
MRPL19	0.576954961
SCRN1	0.375075161
EFCAB14	0.181803972
KEAP1	0.103952423
MELK	-0.765782714
PLEKHM1	1.065058947
C2CD5	-0.072517246
KIAA0753	-0.850765824
C2CD2L	-0.796508312
TOMM70A	-0.180878416
KIAA0196	-0.221085012
KLHL21	0.291812301
ARNT2	0.144754395
FAM20B	0.157787889
NCAPD2	0.117228821
PAN2	-0.14264527
LPGAT1	-0.161714107
KIF14	0.790555894
OXSR1	-0.506458759
MVP	0.154252142
DMTF1	-0.237308875
GNPDA1	0.819490194
HDAC6	0.116180897
PARP2	0.658931375
MAMLD1	0.08437036
DNAJB6	-0.305113286
SMC4	0.216828793
ABCC5	0.231666863
ABCB6	-0.531728327
DNM1L	-0.920994937
TSPAN3	-0.365251422
KIF20A	0.325887501
ARL4C	1.172392488
TRAP1	-0.363059998
G3BP1	-3.827214241
MBNL2	0.41898331
CEBPZ	0.247413397
SLC25A13	0.223484606
SORBS3	-0.700616002
RBM6	-0.591316342
TXNDC9	-0.515367806
TRIM13	-0.504497468
TRIB1	-0.176711679
MFSD10	0.733353794
SLC35B1	1.027633905
TIMM17B	0.107813224
AKAP8	-0.221994996
STUB1	-0.709407628
NET1	-0.227541134
SMNDC1	1.014430881
PAK4	0.776337862
TNIP1	0.146983445
IKZF1	1.465276718
TMEM5	-0.053700771
HMG20B	0.760952413
MYL9	-0.554723322
LYPLA1	-0.095121466
PPIE	0.523144722
VAV3	-0.092557132
LRRC41	-0.155955568
CRTAP	0.063324273
VAT1	0.358018577
STK25	0.261310041
APPBP2	-0.560790837
CHERP	-0.352747083
HYOU1	0.483892798
RPP38	-0.401847661
SLC35A1	1.222118855
DRAP1	-0.244628891
PAICS	-0.263309926
ST6GALNAC2	0.228644878
STAMBP	-0.298976064
NPRL2	0.012233209
IGF2BP2	-0.139051855
YKT6	0.768854797
CGRRF1	-0.231965065
RRAGA	0.034530729
GNB5	-1.046258926
EBP	-0.636080861
CNPY3	0.050633617
YME1L1	-0.356445849
TCFL5	-0.114292979
KDM5B	0.621312499
POP4	0.332709581
ARPP19	0.116491482
ZNF274	-0.098541379
MTHFD2	1.240230441
WASF3	0.240515202
UTP14A	0.874111176
FRS2	0.097096689
CLPX	1.274983406
PGRMC1	0.713575721
MALT1	0.257763773
CPSF4	-0.418000698
BLCAP	-0.705255151
TCERG1	-0.017115533
RNPS1	0.307519376
TOMM34	0.912454247
PDIA5	-0.909604549
MLLT11	-0.734280765
EBNA1BP2	0.384677112
TMED10	0.058544919
ASCC3	-0.126024246
SLC27A3	-0.880867481
KIF2C	0.193577558
CCDC85B	-0.285569191
TLK2	-0.163745165
KDELR2	-0.978753328
RAB31	0.046122402
B4GAT1	1.812037945
PAPD7	-0.462904304
UBE2C	-0.726802826
DUSP14	-0.202451095
TOPBP1	-0.350133598
PRSS23	0.771434426
PWP1	0.079388291
PKIG	-0.035189241
CORO1A	-0.713071108
LSM6	-0.212419853
PSIP1	1.076584458
SLC2A6	-0.010669366
NISCH	1.043560982
CHEK2	0.734133065
PRAF2	0.742065966
POLG2	0.881294966
CHP1	-0.528912961
PNKP	-1.061204195
ECD	-0.262865067
DDX42	0.246559858
TWF2	-0.259114325
CASC3	0.240998
COG2	-0.393707126
ATF5	-0.900859118
MTF2	0.091645628
PUF60	-0.577935636
RAB11FIP2	1.110313177
CLSTN1	0.150448576
FOXJ3	-0.467406392
KIAA0907	-0.047076106
EPN2	-0.552883923
SACM1L	-0.621657491
ATF6	0.294341147
RPIA	0.176017314
RAB21	0.386361122
SPEN	-0.229575753
FBXO21	0.910156667
RBM34	-0.266632378
WDTC1	0.204925984
XPO7	0.508880913
TBC1D9B	-0.803332925
RRP1B	-0.357268214
MYCBP2	-0.158668339
CDK19	0.662189603
GPATCH8	-0.424516678
MAST2	-0.80229187
DCUN1D4	1.356312633
FCHO1	-0.506147921
SNX13	0.380035698
ATP11B	0.708961964
JMJD6	-0.315859258
RRS1	0.388164699
RRP12	-0.359169602
SYNE2	0.10793142
PDS5A	-0.83607465
CAMSAP2	-0.660490632
ATMIN	0.2602593
TRIM2	0.37060532
KIAA1033	-0.060091764
USP22	-0.143430561
WDR7	0.297188044
JADE2	0.561717451
ARHGEF12	-0.731758595
PPP1R13B	-0.104379483
RRP8	0.802326798
NUDCD3	0.224583089
SIRT3	0.353895783
SLC35A3	-0.319355398
ICMT	-0.331943005
MACF1	-0.11313951
SUZ12	0.17007646
KAT6B	0.894827724
NNT	0.105033144
ADAT1	0.137176067
TMEM50A	-0.310527146
KLHDC2	-2.438036442
ACOT9	-0.312886536
SSBP2	-0.422224045
NUP62	-0.31694293
ARFIP2	-0.020189933
LSM5	-0.442278445
PLA2G15	0.221698821
TMEM2	0.122219682
ZNF318	-0.78937304
FBXO7	0.722807169
SPDEF	0.413110256
BAMBI	-0.025531173
BACE2	0.301940173
COG4	-0.063124634
MPC2	0.427837431
CLIC4	0.213459402
C2CD2	0.083787486
TIPARP	0.077721305
TSKU	-0.172374129
RNF167	0.015382624
LRP10	0.789560318
ZNF451	0.159022599
SENP6	0.329999298
RAI14	-0.391959369
KIF1BP	0.096105985
TES	-0.32661736
PHGDH	0.15694879
MYCBP	-0.236667156
CHIC2	0.795883417
TIMM9	-0.957603812
AKAP8L	0.16693908
ATP2C1	0.924227953
TRAPPC3	0.280559301
ATP5S	-4.081695557
TNFRSF21	-0.094347462
SESN1	-0.833809197
HTATSF1	0.10426788
TMEM97	0.223070368
BZW2	-0.118463203
CHMP4A	0.258272737
GTPBP8	0.613715887
DNAJC15	0.107903853
PACSIN3	-0.831754088
RBM15B	-0.290165454
HOOK2	0.112952344
SNX11	1.199345589
TIMM22	-0.406988174
NENF	-0.497164071
UBQLN2	-0.690254927
ERO1A	-0.479483962
DNTTIP2	-0.148202002
PIK3R4	-0.155322716
HDGFRP3	-0.140339196
COPS7A	-0.171955973
NSDHL	-1.628561974
HEBP1	0.397554427
MTERF3	-1.110168219
AMDHD2	1.595015526
ISOC1	-1.006409049
MRPS16	-0.457877994
FIS1	-0.331403613
GOLT1B	-0.175203085
GLOD4	4.986039162
GMNN	-0.088539429
LAP3	0.866973817
NOSIP	1.010528564
DERA	-0.202430874
SCCPDH	-0.513084054
MRPS2	-0.114355557
VPS28	-0.178675041
HSD17B11	0.038439259
NUSAP1	-0.680412948
SCAND1	-1.277063608
CD320	0.047349501
NGRN	0.940321743
SNX7	-0.06178565
ATP6V1D	0.156243518
ZNF589	0.452090323
PRKAG2	0.186925083
UBE2J1	0.057174087
EVL	-1.058057904
HACD3	0.881453454
UFM1	1.179300427
LSR	-0.62352705
DHRS7	-0.287881494
CAB39	-0.655388653
ARID4B	0.445405275
NUDT9	-1.085720301
CYCS	0.563645363
TERF2IP	0.543241203
GFOD1	0.096480228
KCTD5	-0.153904021
TMCO1	-0.37144345
DHX29	-0.870480299
EXOSC4	-0.168234348
DDIT4	1.47515893
PAF1	0.340359122
P4HTM	0.528457463
SLC35F2	0.060729563
ZNF586	0.054329526
FBXL12	-0.349031866
TEX10	-0.076606244
YTHDF1	-1.159329653
TXNL4B	-0.127369806
HERC6	0.472590655
PIH1D1	-0.095233917
PPP2R3C	-0.54191339
FKBP14	-0.161305547
CDCA4	-0.181904197
PLEKHJ1	-0.216944933
HEATR1	0.80621928
ANO10	0.198410064
UBR7	-0.170446962
FAIM	0.646739244
ADI1	0.206745028
ABCF3	-0.404908657
ENOSF1	0.517874181
LRRC16A	0.578845561
ANKRD10	0.064046383
STAP2	-0.334551185
IARS2	0.384804904
NUP133	-0.677666783
CNDP2	-0.697988391
FAM63A	-0.405838668
KDM3A	0.317742974
PECR	-0.00021603
EAPP	0.09724322
CISD1	-0.496135116
ZNF395	-0.323653996
KLHL9	1.154231429
NPDC1	0.110666052
TM9SF3	-0.161379993
PAK6	-0.327567279
DUSP22	-0.824014723
ADCK3	-0.256423861
CIAPIN1	0.250507593
PLSCR3	0.145686865
SCYL3	-0.069201916
LYRM1	0.548553944
ZMIZ1	0.435476929
MCOLN1	0.248234451
THAP11	0.637353957
ABHD6	-1.510817409
TRIB3	-0.226380736
POLD4	-0.919068336
SQRDL	-0.34794569
ENOPH1	-0.054239973
PRUNE	0.686731994
SNX6	-0.261713207
FASTKD5	-0.091254175
ELAC2	-0.426318705
ABHD4	0.303267717
MCUR1	-0.107266903
RBKS	-0.1816006
ATG3	-0.230475485
NARFL	-0.845914543
ZDHHC6	4.215130329
ACBD3	0.409331083
CERK	-0.24539119
NT5DC2	0.333866328
ACD	1.358655214
INTS3	0.386003524
TRAK2	0.260572851
METRN	0.276400834
ELOVL6	0.282763064
TMEM109	-1.059969425
CCDC86	-0.936034203
TRAPPC6A	-0.489861161
CHAC1	-1.221943259
MBOAT7	-0.823161542
PRR15L	-0.63457346
CRELD2	-0.606286883
FSD1	0.454389781
TCTN1	-0.76112628
CHMP6	0.242776111
NPEPL1	-0.244475782
FAM57A	-0.679964602
NUP85	-0.684116125
TCEAL4	0.886846244
DHDDS	0.163547307
DENND2D	0.412831366
FBXO11	-0.219399661
CCDC92	0.075915307
COASY	0.648994744
WDR61	0.418528497
TSEN2	0.377346098
PRR7	0.05339013
ITFG1	0.120218731
GDPD5	-0.177910298
GRWD1	0.610223472
ARID5B	-0.285495669
TUBB6	-0.054452196
PSRC1	-0.677889824
ADO	0.654724002
HIST1H2BK	-0.786536872
MICALL1	0.524145842
UBE3B	-0.172825843
HN1L	-0.158638999
SLC25A46	2.775331974
COG7	-4.174660683
MAPK1IP1L	-0.865224779
TBC1D31	-0.466893017
H2AFV	-0.122646317
RPL39L	0.189588398
CANT1	0.062139779
WIPF2	0.538201988
TICAM1	0.417426765
TXLNA	0.821125805
SPRED2	-0.116536006
EML3	-0.486589044
TMEM110	0.633849382
FAM69A	-0.104364768
