source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
P02751,P08514,FN1,ITGA2B,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:8663002;LRdb:8663002,8,2
P02452,Q9UKX5,COL1A1,ITGA11,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:10464311;LRdb:11359786;LRdb:11856343;LRdb:2156854;LRdb:7688313,7,5
P12830,P38570,CDH1,ITGAE,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:7969453;HPRD:12434297;LRdb:124;LRdb:7969453,10,4
P02649,O75197,APOE,LRP5,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:9832610;HPMR:9832610,10,2
P01019,P98164,AGT,LRP2,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:15467006;LRdb:15467006,7,2
Q96B86,Q92859,RGMA,NEO1,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:15258590;LRdb:15258590,7,2
P48651,Q6NYC1,PTDSS1,JMJD6,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:10811223;HPMR:10811223;LRdb:10811223,10,3
O14786,Q9UIW2,NRP1,PLXNA1,1,0,1,1,0,1,,HPMR;HPRD;Wang,HPMR:10520994;HPMR:15121181;HPRD:10520994,3,3
P32004,O14786,L1CAM,NRP1,1,1,0,1,1,0,,BioGRID;HPMR;Wang,BioGRID:16377081;HPMR:10520994;HPMR:15121181,3,3
Q8NEJ0,P08865,DUSP18,RPSA,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Wang;iTALK,HPMR:2970671,6,1
