X1	X3	X2
Perturbation	inhibits	CTDSPL 
Perturbation	inhibits	CTF1 
Perturbation	inhibits	CTNNA2 
Perturbation	inhibits	CTNNBIP1 
Perturbation	inhibits	CTNND2 
Perturbation	inhibits	CTSB 
Perturbation	inhibits	CTSH 
Perturbation	inhibits	CTSK 
Perturbation	inhibits	CTSL 
Perturbation	inhibits	CTSS 
Perturbation	inhibits	CUEDC2 
Perturbation	inhibits	CXCL13 
Perturbation	inhibits	CXCL16 
Perturbation	inhibits	CXCL2 
Perturbation	inhibits	CXCL3 
Perturbation	inhibits	CXCL6 
Perturbation	inhibits	CXCL9 
Perturbation	inhibits	CXXC4 
Perturbation	inhibits	CYB5R3 
Perturbation	inhibits	CYFIP2 
Perturbation	inhibits	CYP11A1 
Perturbation	inhibits	CYR61 
Perturbation	inhibits	CYSLTR1 
Perturbation	inhibits	CYSLTR2 
Perturbation	inhibits	CYTH1 
Perturbation	inhibits	DACT1 
Perturbation	inhibits	DACT2 
Perturbation	inhibits	DAOA 
Perturbation	inhibits	DBF4B 
Perturbation	inhibits	DBH 
Perturbation	inhibits	DDX21 
Perturbation	inhibits	DEFB4A 
Perturbation	inhibits	DENND4A 
Perturbation	inhibits	DHH 
Perturbation	inhibits	DHX58 
Perturbation	inhibits	DISC1 
Perturbation	inhibits	DISP1 
Perturbation	inhibits	DISP2 
Perturbation	inhibits	DISP3 
Perturbation	inhibits	DIXDC1 
Perturbation	inhibits	DLGAP1 
Perturbation	inhibits	DLK2 
Perturbation	inhibits	DLX2 
Perturbation	inhibits	DMAP1 
Perturbation	inhibits	DMBX1 
Perturbation	inhibits	DMPK 
Perturbation	inhibits	DNAJC5 
Perturbation	inhibits	DNAJC7 
Perturbation	inhibits	DNER 
Perturbation	inhibits	DNMBP 
Perturbation	inhibits	DNTTIP1 
Perturbation	inhibits	DOC2A 
Perturbation	inhibits	DOCK10 
Perturbation	inhibits	DOCK3 
Perturbation	inhibits	DOCK9 
Perturbation	inhibits	DOK7 
Perturbation	inhibits	DOT1L 
Perturbation	inhibits	DTX3L 
Perturbation	inhibits	DTX4 
Perturbation	inhibits	DUSP10 
Perturbation	inhibits	DUSP14 
Perturbation	inhibits	DUSP18 
Perturbation	inhibits	DUSP19 
Perturbation	inhibits	DUSP2 
