,24h_10uM,6h_10uM,6h_3uM,24h_3uM,6h_10uM_1,6h_10uM_2,6h_10uM_3
596,0.326794624329,0.0154583,0.386088311672,-0.505632758141,-1.0024831295,-0.9761971235279999,-1.13413476944
622,-2.18949651718,-0.40577199999999997,-0.65502011776,0.5261640548709999,0.419119775295,1.09504878521,-0.9446449875830001
637,-3.33281755447,-0.34260100000000004,0.08978665620089998,0.384846121073,-1.4978803396200002,-0.835785627365,-1.22427487373
642,0.400383502245,0.636652,0.973529458046,0.09109824895860001,-0.29777121543900004,1.22981452942,-0.40985774993900004
644,0.930814385414,0.975009,0.15922023355999998,0.423238933086,1.1546444892899999,-0.19520661234900002,-1.8124871254
652,-0.877737045288,-0.8252299999999999,-0.45153200626400003,-0.0180924236774,-0.47237831354099996,-0.11595571041099999,-2.07963085175
664,0.899065613747,0.577897,-0.699374377728,1.10834121704,1.4430719613999998,0.9154488444329999,-0.9442260265350001
665,0.009848982095719999,-1.9544099999999998,-1.4296165704700001,-0.43768543005000005,1.3322570323899998,1.62451303005,-0.184081554413
670,0.19100792706,0.581489,0.514210343361,0.890223145485,-1.24700176716,-0.9621966481209999,-1.9165222644799997
672,-3.57340049744,0.41651099999999996,-0.6970908641820001,0.208812579513,0.543295502663,-0.243837848306,-0.704747438431
695,-0.7131574153899999,-0.0177636,0.259247213602,-0.065406896174,-0.061610300093900006,0.647571146488,1.48330330849
701,0.348854780197,0.620654,0.97720849514,0.677488803864,-1.4331457614899998,-1.73108398914,-2.7165508270300003
727,0.39283570647200006,1.8289900000000001,-0.062195554375599996,-0.78930914402,-0.06291410326960001,0.366759121418,0.013072352856399998
780,-0.32660275697700003,-1.0620399999999999,-0.0880312621593,0.46345603466000007,-0.125713258982,-0.5238620042800001,-2.39095067978
808,0.933473944664,-0.068391,0.100367769599,-0.336257189512,-1.17981231213,-1.19165432453,-4.90897083282
813,-2.74752092361,0.841671,-0.82268589735,0.374824672937,1.54606294632,1.49147522449,0.318995118141
823,-0.522779941559,0.34739200000000003,-0.30036008358000005,-0.31718480587,-0.0524157807231,-0.082537509501,-2.69533085823
831,-0.814903378487,0.23516199999999998,-0.0682259947062,-0.69303381443,-0.6017799377440001,-0.493430972099,0.5077128410339999
835,-0.882987499237,0.25144,-0.45855230093000005,0.121037304401,-0.17342700064199998,0.163784354925,-1.36862337589
836,-0.5711733102800001,0.0569366,-0.347306400537,0.642467260361,0.5051788687709999,-1.0875210762,0.320272505283
840,-1.8432297706599998,-0.25288299999999997,0.6575167179110001,0.44336989522,0.89909350872,0.965155959129,0.7516593933110001
