	0
269	LJP005_MCF10A_3H:G13
270	LJP005_MCF10A_3H:G14
271	LJP005_MCF10A_3H:G15
272	LJP005_MCF10A_3H:G16
273	LJP005_MCF10A_3H:G17
274	LJP005_MCF10A_3H:K07
275	LJP005_MCF10A_3H:K08
276	LJP005_MCF10A_3H:K09
277	LJP005_MCF10A_3H:K10
278	LJP005_MCF10A_3H:K11
279	LJP005_MCF10A_3H:K12
280	LJP005_MCF10A_3H:O01
281	LJP005_MCF10A_3H:O02
282	LJP005_MCF10A_3H:O03
283	LJP005_MCF10A_3H:O04
284	LJP005_MCF10A_3H:O05
285	LJP005_MCF10A_3H:O06
286	LJP005_MCF10A_3H:G18
287	LJP005_MCF7_24H:C19
288	LJP005_MCF7_24H:C20
289	LJP005_MCF7_24H:C21
290	LJP005_MCF7_24H:C22
291	LJP005_MCF7_24H:C23
292	LJP005_MCF7_24H:C24
293	LJP005_MCF7_24H:G13
294	LJP005_MCF7_24H:G14
295	LJP005_MCF7_24H:G15
296	LJP005_MCF7_24H:G16
297	LJP005_MCF7_24H:G17
298	LJP005_MCF7_24H:G18
299	LJP005_MCF7_24H:K07
300	LJP005_MCF7_24H:K08
301	LJP005_MCF7_24H:K09
302	LJP005_MCF7_24H:K10
303	LJP005_MCF7_24H:K11
304	LJP005_MCF7_24H:K12
305	LJP005_MCF7_24H:O01
306	LJP005_MCF7_24H:O02
307	LJP005_MCF7_24H:O03
308	LJP005_MCF7_24H:O04
309	LJP005_MCF7_24H:O05
310	LJP005_MCF7_24H:O06
311	LJP005_MCF7_3H:C19
312	LJP005_MCF7_3H:C20
313	LJP005_MCF7_3H:C21
314	LJP005_MCF7_3H:C22
315	LJP005_MCF7_3H:C23
316	LJP005_MCF7_3H:C24
317	LJP005_MCF7_3H:G13
318	LJP005_MCF7_3H:G14
319	LJP005_MCF7_3H:G15
320	LJP005_MCF7_3H:G16
321	LJP005_MCF7_3H:G17
322	LJP005_MCF7_3H:G18
323	LJP005_MCF7_3H:K07
324	LJP005_MCF7_3H:K09
325	LJP005_MCF7_3H:K10
326	LJP005_MCF7_3H:K11
327	LJP005_MCF7_3H:K12
328	LJP005_MCF7_3H:O01
329	LJP005_MCF7_3H:O02
330	LJP005_MCF7_3H:O03
331	LJP005_MCF7_3H:O04
332	LJP005_MCF7_3H:O05
333	LJP005_MCF7_3H:O06
334	LJP005_MCF7_3H:K08
335	LJP005_MDAMB231_24H:C19
336	LJP005_MDAMB231_24H:C20
337	LJP005_MDAMB231_24H:C22
338	LJP005_MDAMB231_24H:C23
339	LJP005_MDAMB231_24H:G13
340	LJP005_MDAMB231_24H:G14
341	LJP005_MDAMB231_24H:G15
342	LJP005_MDAMB231_24H:G16
343	LJP005_MDAMB231_24H:G17
344	LJP005_MDAMB231_24H:G18
345	LJP005_MDAMB231_24H:K07
346	LJP005_MDAMB231_24H:K08
347	LJP005_MDAMB231_24H:K09
348	LJP005_MDAMB231_24H:K10
349	LJP005_MDAMB231_24H:K11
350	LJP005_MDAMB231_24H:K12
351	LJP005_MDAMB231_24H:O02
352	LJP005_MDAMB231_24H:O03
353	LJP005_MDAMB231_24H:O04
354	LJP005_MDAMB231_24H:O06
355	LJP005_MDAMB231_24H:C21
356	LJP005_MDAMB231_24H:C24
357	LJP005_MDAMB231_24H:O01
358	LJP005_MDAMB231_24H:O05
359	LJP005_MDAMB231_3H:C19
360	LJP005_MDAMB231_3H:C20
361	LJP005_MDAMB231_3H:C21
362	LJP005_MDAMB231_3H:C22
363	LJP005_MDAMB231_3H:C23
364	LJP005_MDAMB231_3H:C24
365	LJP005_MDAMB231_3H:G13
366	LJP005_MDAMB231_3H:G14
367	LJP005_MDAMB231_3H:G15
368	LJP005_MDAMB231_3H:G16
369	LJP005_MDAMB231_3H:G17
370	LJP005_MDAMB231_3H:G18
371	LJP005_MDAMB231_3H:K07
372	LJP005_MDAMB231_3H:K08
373	LJP005_MDAMB231_3H:K09
374	LJP005_MDAMB231_3H:K10
375	LJP005_MDAMB231_3H:K11
376	LJP005_MDAMB231_3H:K12
377	LJP005_MDAMB231_3H:O01
378	LJP005_MDAMB231_3H:O02
379	LJP005_MDAMB231_3H:O03
380	LJP005_MDAMB231_3H:O04
381	LJP005_MDAMB231_3H:O05
382	LJP005_MDAMB231_3H:O06
383	LJP005_PC3_24H:C19
384	LJP005_PC3_24H:C20
385	LJP005_PC3_24H:C21
386	LJP005_PC3_24H:C22
387	LJP005_PC3_24H:C23
388	LJP005_PC3_24H:C24
389	LJP005_PC3_24H:G13
390	LJP005_PC3_24H:G14
391	LJP005_PC3_24H:G15
392	LJP005_PC3_24H:G16
393	LJP005_PC3_24H:G17
394	LJP005_PC3_24H:G18
395	LJP005_PC3_24H:K07
396	LJP005_PC3_24H:K08
397	LJP005_PC3_24H:K09
398	LJP005_PC3_24H:K10
399	LJP005_PC3_24H:K11
400	LJP005_PC3_24H:K12
401	LJP005_PC3_24H:O02
402	LJP005_PC3_24H:O03
403	LJP005_PC3_24H:O04
404	LJP005_PC3_24H:O05
405	LJP005_PC3_24H:O06
406	LJP005_PC3_24H:O01
407	LJP005_SKBR3_24H:C20
408	LJP005_SKBR3_24H:C21
409	LJP005_SKBR3_24H:C22
410	LJP005_SKBR3_24H:C23
411	LJP005_SKBR3_24H:C24
412	LJP005_SKBR3_24H:G13
413	LJP005_SKBR3_24H:G14
414	LJP005_SKBR3_24H:G15
415	LJP005_SKBR3_24H:G16
416	LJP005_SKBR3_24H:G17
417	LJP005_SKBR3_24H:G18
418	LJP005_SKBR3_24H:K07
419	LJP005_SKBR3_24H:K08
420	LJP005_SKBR3_24H:K09
421	LJP005_SKBR3_24H:K10
422	LJP005_SKBR3_24H:K11
423	LJP005_SKBR3_24H:K12
424	LJP005_SKBR3_24H:O01
425	LJP005_SKBR3_24H:O02
426	LJP005_SKBR3_24H:O03
427	LJP005_SKBR3_24H:O04
428	LJP005_SKBR3_24H:O06
429	LJP005_SKBR3_24H:C19
430	LJP005_SKBR3_24H:O05
431	LJP005_SKBR3_3H:C19
432	LJP005_SKBR3_3H:C20
433	LJP005_SKBR3_3H:C21
434	LJP005_SKBR3_3H:C22
435	LJP005_SKBR3_3H:C23
436	LJP005_SKBR3_3H:C24
437	LJP005_SKBR3_3H:G13
438	LJP005_SKBR3_3H:G14
439	LJP005_SKBR3_3H:G15
440	LJP005_SKBR3_3H:G16
441	LJP005_SKBR3_3H:G17
442	LJP005_SKBR3_3H:G18
443	LJP005_SKBR3_3H:K07
444	LJP005_SKBR3_3H:K08
445	LJP005_SKBR3_3H:K09
446	LJP005_SKBR3_3H:K11
447	LJP005_SKBR3_3H:K12
448	LJP005_SKBR3_3H:O01
449	LJP005_SKBR3_3H:O02
450	LJP005_SKBR3_3H:O03
451	LJP005_SKBR3_3H:O04
452	LJP005_SKBR3_3H:O05
453	LJP005_SKBR3_3H:O06
454	LJP005_SKBR3_3H:K10
455	LJP006_A375_24H:C19
456	LJP006_A375_24H:C20
457	LJP006_A375_24H:C21
458	LJP006_A375_24H:C22
459	LJP006_A375_24H:C23
460	LJP006_A375_24H:C24
461	LJP006_A375_24H:G15
462	LJP006_A375_24H:G16
463	LJP006_A375_24H:G17
464	LJP006_A375_24H:G18
465	LJP006_A375_24H:K07
466	LJP006_A375_24H:K08
467	LJP006_A375_24H:K09
468	LJP006_A375_24H:K10
469	LJP006_A375_24H:K11
470	LJP006_A375_24H:K12
471	LJP006_A375_24H:O01
472	LJP006_A375_24H:O02
473	LJP006_A375_24H:O03
474	LJP006_A375_24H:O04
475	LJP006_A375_24H:O05
476	LJP006_A375_24H:O06
477	LJP006_A375_24H:G14
478	LJP006_A375_24H:G13
479	LJP006_A549_24H:C19
480	LJP006_A549_24H:C20
481	LJP006_A549_24H:C21
482	LJP006_A549_24H:C22
483	LJP006_A549_24H:C23
484	LJP006_A549_24H:C24
485	LJP006_A549_24H:G13
486	LJP006_A549_24H:G14
487	LJP006_A549_24H:G15
488	LJP006_A549_24H:G16
489	LJP006_A549_24H:G17
490	LJP006_A549_24H:G18
491	LJP006_A549_24H:K07
492	LJP006_A549_24H:K08
493	LJP006_A549_24H:K09
494	LJP006_A549_24H:K10
495	LJP006_A549_24H:K11
496	LJP006_A549_24H:K12
497	LJP006_A549_24H:O01
498	LJP006_A549_24H:O02
499	LJP006_A549_24H:O03
500	LJP006_A549_24H:O04
501	LJP006_A549_24H:O05
502	LJP006_A549_24H:O06
503	LJP006_BT20_24H:C19
504	LJP006_BT20_24H:C20
505	LJP006_BT20_24H:C21
506	LJP006_BT20_24H:C22
507	LJP006_BT20_24H:C23
508	LJP006_BT20_24H:C24
509	LJP006_BT20_24H:G13
510	LJP006_BT20_24H:G14
511	LJP006_BT20_24H:G15
512	LJP006_BT20_24H:G16
513	LJP006_BT20_24H:G17
514	LJP006_BT20_24H:G18
515	LJP006_BT20_24H:K07
516	LJP006_BT20_24H:K08
517	LJP006_BT20_24H:K09
518	LJP006_BT20_24H:K11
519	LJP006_BT20_24H:K12
520	LJP006_BT20_24H:O01
521	LJP006_BT20_24H:O02
522	LJP006_BT20_24H:O03
523	LJP006_BT20_24H:O04
524	LJP006_BT20_24H:O05
525	LJP006_BT20_24H:O06
526	LJP006_BT20_24H:K10
527	LJP006_BT20_3H:C19
528	LJP006_BT20_3H:C20
529	LJP006_BT20_3H:C21
530	LJP006_BT20_3H:C22
531	LJP006_BT20_3H:C23
532	LJP006_BT20_3H:C24
533	LJP006_BT20_3H:G13
534	LJP006_BT20_3H:G14
535	LJP006_BT20_3H:G15
536	LJP006_BT20_3H:G16
537	LJP006_BT20_3H:G17
538	LJP006_BT20_3H:G18
539	LJP006_BT20_3H:K07
540	LJP006_BT20_3H:K08
541	LJP006_BT20_3H:K09
542	LJP006_BT20_3H:K10
543	LJP006_BT20_3H:K11
544	LJP006_BT20_3H:K12
545	LJP006_BT20_3H:O01
