	0
5476	CPC002_HA1E_6H:BRD-A30437061-001-02-7:10
5477	CPC002_HA1E_6H:BRD-K08547377-003-03-2:10
5478	CPC002_HA1E_6H:BRD-K38903228-001-02-8:10
5479	CPC002_HA1E_6H:BRD-K60476892-001-02-1:10
5480	CPC002_HA1E_6H:BRD-K81418486:10
5481	CPC002_HA1E_6H:BRD-K97399794-001-08-8:10
5482	CPC002_HA1E_6H:BRD-K98548675-001-02-6:10
5483	CPC002_HCC515_24H:BRD-A19500257:10
5484	CPC002_HCC515_24H:BRD-A28970875-300-03-1:10
5485	CPC002_HCC515_24H:BRD-A30437061-001-02-7:10
5486	CPC002_HCC515_24H:BRD-K08547377-003-03-2:10
5487	CPC002_HCC515_24H:BRD-K38903228-001-02-8:10
5488	CPC002_HCC515_24H:BRD-K60476892-001-02-1:10
5489	CPC002_HCC515_24H:BRD-K81418486:10
5490	CPC002_HCC515_24H:BRD-K97399794-001-08-8:10
5491	CPC002_HCC515_24H:BRD-K98548675-001-02-6:10
5492	CPC002_HCC515_6H:BRD-A19500257:10
5493	CPC002_HCC515_6H:BRD-A28970875-300-03-1:10
5494	CPC002_HCC515_6H:BRD-A30437061-001-02-7:10
5495	CPC002_HCC515_6H:BRD-K08547377-003-03-2:10
5496	CPC002_HCC515_6H:BRD-K38903228-001-02-8:10
5497	CPC002_HCC515_6H:BRD-K60476892-001-02-1:10
5498	CPC002_HCC515_6H:BRD-K81418486:10
5499	CPC002_HCC515_6H:BRD-K97399794-001-08-8:10
5500	CPC002_HCC515_6H:BRD-K98548675-001-02-6:10
5501	CPC002_PC3_24H:BRD-A19500257:10
5502	CPC002_PC3_24H:BRD-A28970875-300-03-1:10
5503	CPC002_PC3_24H:BRD-A30437061-001-02-7:10
5504	CPC002_PC3_24H:BRD-K08547377-003-03-2:10
5505	CPC002_PC3_24H:BRD-K38903228-001-02-8:10
5506	CPC002_PC3_24H:BRD-K60476892-001-02-1:10
5507	CPC002_PC3_24H:BRD-K81418486:10
5508	CPC002_PC3_24H:BRD-K97399794-001-08-8:10
5509	CPC002_PC3_24H:BRD-K98548675-001-02-6:10
5510	CPC002_PC3_6H:BRD-A19500257:10
5511	CPC002_PC3_6H:BRD-A28970875-300-03-1:10
5512	CPC002_PC3_6H:BRD-A30437061-001-02-7:10
5513	CPC002_PC3_6H:BRD-K08547377-003-03-2:10
5514	CPC002_PC3_6H:BRD-K38903228-001-02-8:10
5515	CPC002_PC3_6H:BRD-K60476892-001-02-1:10
5516	CPC002_PC3_6H:BRD-K81418486:10
5517	CPC002_PC3_6H:BRD-K97399794-001-08-8:10
5518	CPC002_PC3_6H:BRD-K98548675-001-02-6:10
5519	CPC002_VCAP_24H:BRD-A19500257:10
5520	CPC002_VCAP_24H:BRD-A28970875-300-03-1:10
5521	CPC002_VCAP_24H:BRD-K08547377-003-03-2:10
5522	CPC002_VCAP_24H:BRD-K38903228-001-02-8:10
5523	CPC002_VCAP_24H:BRD-K60476892-001-02-1:10
5524	CPC002_VCAP_24H:BRD-K81418486:10
5525	CPC002_VCAP_24H:BRD-K97399794-001-08-8:10
5526	CPC002_VCAP_24H:BRD-K98548675-001-02-6:10
5527	CPC002_VCAP_6H:BRD-A19500257:10
5528	CPC002_VCAP_6H:BRD-A28970875-300-03-1:10
5529	CPC002_VCAP_6H:BRD-A30437061-001-02-7:10
5530	CPC002_VCAP_6H:BRD-K08547377-003-03-2:10
5531	CPC002_VCAP_6H:BRD-K38903228-001-02-8:10
5532	CPC002_VCAP_6H:BRD-K60476892-001-02-1:10
5533	CPC002_VCAP_6H:BRD-K81418486:10
5534	CPC002_VCAP_6H:BRD-K97399794-001-08-8:10
5535	CPC002_VCAP_6H:BRD-K98548675-001-02-6:10
5536	CPC003_HA1E_24H:BRD-A19500257:10
5537	CPC003_HA1E_24H:BRD-A41112154-001-02-1:10
5538	CPC003_HA1E_24H:BRD-A68009927-003-02-9:10
5539	CPC003_HA1E_24H:BRD-A77722753-003-02-5:10
5540	CPC003_HA1E_24H:BRD-K03600606-001-02-3:10
5541	CPC003_HA1E_24H:BRD-K81418486:10
5542	CPC003_HA1E_6H:BRD-A19500257:10
5543	CPC003_HA1E_6H:BRD-A41112154-001-02-1:10
5544	CPC003_HA1E_6H:BRD-A68009927-003-02-9:10
5545	CPC003_HA1E_6H:BRD-A77722753-003-02-5:10
5546	CPC003_HA1E_6H:BRD-K03600606-001-02-3:10
5547	CPC003_HA1E_6H:BRD-K36007650-300-02-3:10
5548	CPC003_HA1E_6H:BRD-K81418486:10
5549	CPC003_HA1E_6H:BRD-K92093830-003-05-0:10
5550	CPC003_HCC515_24H:BRD-A19500257:10
5551	CPC003_HCC515_24H:BRD-A41112154-001-02-1:10
5552	CPC003_HCC515_24H:BRD-A68009927-003-02-9:10
5553	CPC003_HCC515_24H:BRD-A77722753-003-02-5:10
5554	CPC003_HCC515_24H:BRD-K03600606-001-02-3:10
5555	CPC003_HCC515_24H:BRD-K36007650-300-02-3:10
5556	CPC003_HCC515_24H:BRD-K81418486:10
5557	CPC003_HCC515_24H:BRD-K92093830-003-05-0:10
5558	CPC003_HCC515_6H:BRD-A19500257:10
5559	CPC003_HCC515_6H:BRD-A41112154-001-02-1:10
5560	CPC003_HCC515_6H:BRD-A68009927-003-02-9:10
5561	CPC003_HCC515_6H:BRD-A77722753-003-02-5:10
5562	CPC003_HCC515_6H:BRD-K03600606-001-02-3:10
5563	CPC003_HCC515_6H:BRD-K36007650-300-02-3:10
